keyword,volume,kd,cpc,competition,intent,intent_secondary,seed
your dream desk,1900,9,0.59,LOW,informational,"transactional,commercial",standing desk
zoho desk,1900,33,30.07,LOW,transactional,,standing desk
kids desk chair,1900,0,0.64,HIGH,transactional,,standing desk
school desk,1900,0,1.17,MEDIUM,informational,"transactional,navigational",standing desk
walmart desk,1900,0,0.18,HIGH,transactional,,standing desk
height adjustable desk,1900,3,1.61,HIGH,transactional,,standing desk
staples desks,1900,5,1.27,HIGH,transactional,,standing desk
desk pad,1900,0,0.71,HIGH,transactional,,standing desk
flexispot standing desk,1600,0,1.51,HIGH,transactional,,standing desk
desk fan,1600,0,0.61,HIGH,transactional,,standing desk
desk with hutch,1600,0,0.88,HIGH,transactional,,standing desk
bunk bed with desk,1600,0,0.64,HIGH,transactional,,standing desk
writing desk,1600,0,0.85,HIGH,transactional,,standing desk
study desk,1600,0,0.58,HIGH,transactional,informational,standing desk
electric standing desk,1600,0,1.85,HIGH,transactional,,standing desk
foot rest under desk,1600,0,0.71,HIGH,transactional,,standing desk
monitor stand for desk,1600,0,1.19,HIGH,transactional,,standing desk
secretary desk,1600,0,0.7,HIGH,transactional,,standing desk
laptop stand for desk,1600,2,0.65,HIGH,transactional,,standing desk
desk riser,1300,0,1.25,HIGH,transactional,,standing desk
office chairs canadian tire,1300,0,0.67,HIGH,navigational,transactional,standing desk
work desk,1300,0,1.31,HIGH,transactional,informational,standing desk
folding desk,1300,0,0.61,HIGH,transactional,,standing desk
walmart office chairs,1300,9,0.31,HIGH,transactional,,standing desk
executive desk,1300,0,2.94,HIGH,navigational,informational,standing desk
desk risers,1300,0,1.25,HIGH,transactional,,standing desk
standing desk converter,1300,0,1.51,HIGH,transactional,,standing desk
roll top desk,1300,0,0.54,HIGH,transactional,,standing desk
desk for sale,1300,0,1.26,HIGH,transactional,,standing desk
standard desk height,1300,0,1.01,MEDIUM,informational,,standing desk
wall mounted desk,1000,0,0.72,HIGH,transactional,,standing desk
adjustable standing desk,1000,0,2.83,HIGH,transactional,,standing desk
vanity desk mirror,1000,0,0.67,HIGH,transactional,,standing desk
vanity desk with mirror,1000,0,0.67,HIGH,transactional,,standing desk
ergonomic desk,1000,0,2.76,HIGH,transactional,,standing desk
bed desk,1000,0,0.43,HIGH,transactional,,standing desk
floating desk,1000,0,0.57,HIGH,transactional,,standing desk
desk accessories,1000,0,0.89,HIGH,transactional,,standing desk
desk height,1000,0,1.6,HIGH,informational,transactional,standing desk
desk calendar,1000,0,0.64,HIGH,transactional,informational,standing desk
ergonomic desk chair,1000,0,2.22,HIGH,transactional,,standing desk
desk with storage,1000,0,0.78,HIGH,transactional,,standing desk
uplift desk,1000,17,1.68,HIGH,transactional,,standing desk
desk foot rest,1000,0,0.71,HIGH,transactional,,standing desk
makeup desk,1000,0,0.69,HIGH,transactional,,standing desk
small computer desk,1000,0,0.65,HIGH,transactional,,standing desk
desk with bookshelf,1000,0,0.67,HIGH,transactional,,standing desk
desk drawer,1000,0,1.02,HIGH,transactional,,standing desk
sit stand desk canada,1000,0,5.5,HIGH,navigational,,standing desk
desk for makeup,1000,0,0.69,HIGH,transactional,,standing desk
best standing desk,880,8,5.64,HIGH,commercial,transactional,standing desk
best buy office chairs,880,3,0.99,HIGH,transactional,,standing desk
corner desk small,880,0,0.82,HIGH,transactional,,standing desk
amazon desk,880,0,0.28,HIGH,navigational,transactional,standing desk
wall desk,880,0,0.89,HIGH,transactional,,standing desk
under desk drawer,880,0,1,HIGH,transactional,,standing desk
black desk,880,0,1.59,HIGH,transactional,,standing desk
oval office desk,880,13,1.11,LOW,navigational,,standing desk
desk light,880,0,0.59,HIGH,transactional,,standing desk
desk legs,880,0,0.54,HIGH,transactional,,standing desk
dual monitor desk mount,880,2,1.39,HIGH,transactional,,standing desk
best buy standing desk,880,0,0.47,HIGH,transactional,,standing desk
l-shaped office desk,880,0,3.51,HIGH,transactional,,standing desk
computer desk with drawers,880,0,0.91,HIGH,transactional,,standing desk
chaise de bureau costco,880,0,0.91,HIGH,transactional,,standing desk
best office chairs canada,880,30,3.73,HIGH,commercial,,standing desk
under desk bike,880,0,0.34,HIGH,transactional,,standing desk
costco chaise de bureau,880,0,0.91,HIGH,transactional,,standing desk
resolute desk,880,14,1.11,LOW,transactional,,standing desk
computer desk canada,880,0,1.97,HIGH,navigational,,standing desk
progressive desk,880,0,3.27,HIGH,transactional,,standing desk
amazon standing desk,880,0,0.57,HIGH,transactional,,standing desk
electric desk,720,0,1.15,HIGH,transactional,,standing desk
standing desk with drawers,720,1,2.03,HIGH,transactional,,standing desk
desk table,720,0,0.89,HIGH,transactional,,standing desk
drawing desk,720,0,0.59,HIGH,transactional,informational,standing desk
white desk with drawers,720,0,1,HIGH,transactional,,standing desk
l shaped standing desk,720,0,3.27,HIGH,transactional,,standing desk
drop top desk,720,0,0.38,HIGH,transactional,,standing desk
adjustable height desk,720,4,2.96,HIGH,transactional,,standing desk
student desk,720,0,0.72,HIGH,navigational,,standing desk
drawer for standing desk,720,0,2.03,HIGH,transactional,,standing desk
desk with shelves,720,0,1,HIGH,transactional,,standing desk
monitor arm desk mount,720,0,1.5,HIGH,transactional,,standing desk
monitor mount for desk,720,1,0.97,HIGH,transactional,,standing desk
l shaped gaming desk,720,0,1.34,HIGH,transactional,,standing desk
under desk storage,720,0,0.62,HIGH,transactional,,standing desk
solid wood desk,720,0,1.7,HIGH,transactional,,standing desk
gaming computer desk,720,0,1.5,HIGH,transactional,,standing desk
bestbuy desk,720,0,0.25,HIGH,transactional,navigational,standing desk
l shaped computer desk,720,0,1.66,HIGH,transactional,,standing desk
desk cable management,720,0,1.02,HIGH,informational,,standing desk
bureau de travail costco,720,0,0.95,HIGH,commercial,"navigational,transactional",standing desk
office desk canada,720,0,5.43,HIGH,navigational,commercial,standing desk
staples standing desk,720,0,1.5,HIGH,transactional,,standing desk
small office desk,720,0,1.16,HIGH,transactional,,standing desk
desk setup,720,24,0.77,HIGH,informational,"commercial,transactional",standing desk
it service desk,720,13,19.53,LOW,navigational,,standing desk
small standing desk,590,0,1.31,HIGH,transactional,,standing desk
desk pen holder,590,0,0.96,HIGH,transactional,,standing desk
le desk,590,7,,LOW,transactional,"informational,navigational",standing desk
studio desk,590,0,1.03,HIGH,informational,,standing desk
bunk with desk underneath,590,0,0.53,HIGH,transactional,,standing desk
small desk with drawers,590,0,0.72,HIGH,transactional,,standing desk
desk pet,590,0,0.41,HIGH,transactional,,standing desk
nail desk,590,0,0.94,HIGH,transactional,,standing desk
bunk bed with desk under,590,0,0.53,HIGH,transactional,,standing desk
office desk with drawers,590,0,2.34,HIGH,transactional,,standing desk
bunk beds with desk underneath,590,0,0.53,HIGH,transactional,,standing desk
bunk bed desk underneath,590,0,0.53,HIGH,transactional,,standing desk
glass desk,590,0,1.19,HIGH,transactional,,standing desk
small desk for bedroom,590,0,0.66,HIGH,transactional,,standing desk
compact treadmill under desk,590,6,0.3,LOW,transactional,,standing desk
long desk,590,0,0.92,HIGH,transactional,,standing desk
ladder desk,590,0,0.87,HIGH,transactional,,standing desk
comfy desk chair,590,13,0.6,HIGH,transactional,,standing desk
under desk treadmill compact,590,18,0.3,LOW,transactional,,standing desk
desk grommet,590,0,0.82,HIGH,transactional,,standing desk
modern desk,590,0,2.93,HIGH,transactional,,standing desk
pc desk,590,6,1,HIGH,transactional,,standing desk
gaming desk chair,590,15,0.92,HIGH,transactional,,standing desk
computer desk walmart,590,0,0.19,HIGH,transactional,navigational,standing desk
malm desk,590,0,0.11,HIGH,transactional,,standing desk
walnut desk,590,0,1.62,HIGH,transactional,,standing desk
laptop desk for bed,590,0,0.45,HIGH,transactional,,standing desk
cat desk bed,590,0,0.33,HIGH,transactional,,standing desk
under desk cable management,590,0,0.78,HIGH,transactional,"informational,commercial",standing desk
kallax desk,590,0,0.12,HIGH,navigational,transactional,standing desk
pen holder for desk,590,0,0.96,HIGH,transactional,,standing desk
staples studio ottawa coworking space,590,5,,LOW,navigational,,standing desk
standing desk legs,590,0,2.44,HIGH,transactional,,standing desk
bunk bed under desk,590,0,0.53,HIGH,transactional,,standing desk
wood desk top,590,0,0.88,HIGH,transactional,,standing desk
vintage desk,590,0,0.79,HIGH,transactional,,standing desk
scentsy canada workstation,590,21,3.27,LOW,navigational,,standing desk
bunk bed with desk underneath,590,0,0.53,HIGH,transactional,,standing desk
bedroom desk,590,0,0.78,HIGH,transactional,,standing desk
staples computer desk,590,0,0.6,HIGH,transactional,,standing desk
bunk with desk under,590,0,0.53,HIGH,transactional,,standing desk
best desk chairs,590,15,4.46,HIGH,commercial,transactional,standing desk
art desk,590,0,0.58,HIGH,navigational,"transactional,informational",standing desk
white desk chair,590,0,0.87,HIGH,transactional,,standing desk
desk name plates,590,0,0.92,HIGH,transactional,,standing desk
autonomous desk,590,12,3.3,HIGH,transactional,,standing desk
desk cabinet,590,0,1.12,HIGH,transactional,,standing desk
desk decor,590,5,0.46,HIGH,transactional,commercial,standing desk
u shaped desk,590,0,2.15,HIGH,transactional,,standing desk
reservation desk,590,1,1.09,MEDIUM,navigational,transactional,standing desk
corner computer desk,590,0,0.91,HIGH,transactional,,standing desk
bunk bed desk under,590,0,0.53,HIGH,transactional,,standing desk
standing desk benefits,480,14,0.22,LOW,informational,,standing desk
foldable wall desk,480,0,0.47,HIGH,transactional,,standing desk
portable desk,480,0,0.9,HIGH,transactional,,standing desk
large desk,480,0,2.35,HIGH,transactional,,standing desk
oak desk,480,0,1.55,HIGH,transactional,,standing desk
under desk keyboard tray,480,0,1.05,HIGH,transactional,,standing desk
l shaped desk with drawers,480,0,1.88,HIGH,transactional,,standing desk
office desk chair,480,0,3.03,HIGH,transactional,,standing desk
kids desk and chair set,480,0,0.84,HIGH,transactional,,standing desk
vanity desk with mirror and lights,480,0,0.82,HIGH,transactional,,standing desk
ergonomic office chair canada,480,1,3.96,HIGH,navigational,,standing desk
cheap desk,480,0,0.46,HIGH,transactional,,standing desk
lap desk with cushion,480,0,0.43,HIGH,transactional,,standing desk
gorilla desk,480,17,5.27,MEDIUM,transactional,,standing desk
desk mirror,480,0,0.36,HIGH,transactional,,standing desk
desk clock,480,0,0.54,HIGH,transactional,,standing desk
craft desk,480,0,0.72,HIGH,transactional,navigational,standing desk
folding desk wall mounted,480,0,0.71,HIGH,transactional,,standing desk
office,110000,98,0.79,LOW,informational,,office furniture canada
desk,33100,0,1.18,HIGH,transactional,informational,office furniture canada
office chair,33100,16,1.68,HIGH,transactional,,office furniture canada
chair,27100,14,0.85,HIGH,transactional,informational,office furniture canada
office space,18100,23,8.03,LOW,commercial,informational,office furniture canada
standing desk,18100,5,2.73,HIGH,transactional,,office furniture canada
ergonomic chairs,14800,4,1.77,HIGH,transactional,,office furniture canada
ergonomic chair,14800,1,1.76,HIGH,transactional,,office furniture canada
desk chair,9900,9,1.05,HIGH,transactional,,office furniture canada
computer desk,9900,2,0.97,HIGH,transactional,,office furniture canada
office desk,9900,0,3.16,HIGH,transactional,,office furniture canada
ergonomic office chair,9900,2,2.01,HIGH,transactional,,office furniture canada
gaming desk,8100,0,1.3,HIGH,transactional,,office furniture canada
the office movers,8100,6,,LOW,commercial,,office furniture canada
open office,8100,70,0.78,LOW,informational,navigational,office furniture canada
work from home,8100,0,2.51,MEDIUM,informational,,office furniture canada
the office moving,8100,5,,LOW,navigational,"informational,commercial",office furniture canada
l shaped desk,8100,0,2.03,HIGH,transactional,,office furniture canada
staples office chairs,6600,0,0.91,HIGH,transactional,,office furniture canada
desk lamp,6600,0,0.58,HIGH,transactional,,office furniture canada
corner desk,5400,0,1.05,HIGH,transactional,,office furniture canada
office furniture,5400,3,15.72,HIGH,transactional,commercial,office furniture canada
computer chair,5400,10,0.97,HIGH,transactional,,office furniture canada
secret labs chair,5400,23,0.44,HIGH,transactional,,office furniture canada
vanity desk,4400,0,0.62,HIGH,transactional,,office furniture canada
best office chairs,4400,17,3.77,HIGH,commercial,transactional,office furniture canada
desk organizer,4400,0,0.79,HIGH,transactional,,office furniture canada
erin office,4400,17,,LOW,navigational,,office furniture canada
source office furniture,4400,13,1.1,HIGH,navigational,,office furniture canada
sit stand desk,4400,0,3.39,HIGH,transactional,,office furniture canada
office pools guest,4400,15,0.03,LOW,navigational,,office furniture canada
under desk treadmill,3600,3,1.05,HIGH,transactional,,office furniture canada
office customization tool,3600,15,3.95,LOW,informational,"commercial,navigational",office furniture canada
small desk,3600,3,0.69,HIGH,transactional,,office furniture canada
cocobolo desk,3600,0,0.34,MEDIUM,transactional,,office furniture canada
monk office,3600,9,4.5,LOW,informational,navigational,office furniture canada
lap desk,3600,0,0.46,HIGH,transactional,,office furniture canada
desk mat,3600,0,0.82,HIGH,transactional,,office furniture canada
reception desk,2900,0,4.37,HIGH,navigational,"informational,commercial",office furniture canada
return to office,2900,0,,LOW,informational,,office furniture canada
murphy bed with desk,2900,0,0.83,HIGH,transactional,,office furniture canada
loft bed with desk,2900,0,0.79,HIGH,transactional,,office furniture canada
kids desk,2900,0,0.75,HIGH,transactional,,office furniture canada
the office grind,2900,0,0.05,LOW,informational,,office furniture canada
wooden desk,2900,0,1.1,HIGH,transactional,,office furniture canada
home office desk,2900,0,2.04,HIGH,transactional,,office furniture canada
office chairs canada,2900,0,3.01,HIGH,navigational,"commercial,transactional",office furniture canada
structube chairs,2900,0,0.28,HIGH,transactional,,office furniture canada
toby office,2900,13,,LOW,navigational,,office furniture canada
creed bratton office,2900,11,,LOW,navigational,,office furniture canada
white desk,2400,0,1.04,HIGH,transactional,,office furniture canada
standing desk canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",office furniture canada
lazyboy office chair,2400,0,1.5,HIGH,transactional,,office furniture canada
standing desks canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",office furniture canada
the brick corporate office,2400,0,1.08,LOW,navigational,,office furniture canada
desk treadmill,2400,1,0.83,HIGH,transactional,,office furniture canada
home office ideas,1900,23,0.86,HIGH,informational,,office furniture canada
desk with drawers,1900,0,0.9,HIGH,transactional,,office furniture canada
stand up desk,1900,12,3.59,HIGH,transactional,,office furniture canada
desk shelf,1900,0,0.69,HIGH,transactional,,office furniture canada
secret labs desk,1900,19,0.65,HIGH,transactional,,office furniture canada
your dream desk,1900,9,0.59,LOW,informational,"transactional,commercial",office furniture canada
zoho desk,1900,33,30.07,LOW,transactional,,office furniture canada
office unicity,1900,0,,LOW,navigational,,office furniture canada
kids desk chair,1900,0,0.64,HIGH,transactional,,office furniture canada
school desk,1900,0,1.17,MEDIUM,informational,"transactional,navigational",office furniture canada
walmart desk,1900,0,0.18,HIGH,transactional,,office furniture canada
home office,1900,50,1.53,HIGH,informational,,office furniture canada
height adjustable desk,1900,3,1.61,HIGH,transactional,,office furniture canada
staples desks,1900,5,1.27,HIGH,transactional,,office furniture canada
office table,1900,0,1.87,HIGH,transactional,,office furniture canada
structube desks,1900,0,0.67,HIGH,transactional,navigational,office furniture canada
denis office supplies,1900,0,5.32,LOW,navigational,,office furniture canada
office chair mat,1900,0,1.15,HIGH,transactional,,office furniture canada
gabe office,1900,12,,LOW,navigational,,office furniture canada
desk pad,1900,0,0.71,HIGH,transactional,,office furniture canada
herman miller office chair,1900,6,1.78,HIGH,transactional,,office furniture canada
wayfair desks,1600,0,1.11,HIGH,navigational,transactional,office furniture canada
flexispot standing desk,1600,0,1.51,HIGH,transactional,,office furniture canada
desk fan,1600,0,0.61,HIGH,transactional,,office furniture canada
best ergonomic office chair,1600,14,3.97,HIGH,commercial,transactional,office furniture canada
office background,1600,0,0.17,LOW,informational,commercial,office furniture canada
heritage office furnishings,1600,8,12.49,LOW,navigational,,office furniture canada
desk with hutch,1600,0,0.88,HIGH,transactional,,office furniture canada
meredith office,1600,22,,LOW,navigational,,office furniture canada
office chair sale,1600,0,1.03,HIGH,transactional,,office furniture canada
bunk bed with desk,1600,0,0.64,HIGH,transactional,,office furniture canada
metropolitan office,1600,17,,LOW,navigational,,office furniture canada
writing desk,1600,0,0.85,HIGH,transactional,,office furniture canada
study desk,1600,0,0.58,HIGH,transactional,informational,office furniture canada
office cleaning,1600,16,7.44,LOW,informational,,office furniture canada
out of office,1600,11,0.21,LOW,informational,,office furniture canada
electric standing desk,1600,0,1.85,HIGH,transactional,,office furniture canada
chair source,1600,0,4.54,HIGH,informational,,office furniture canada
foot rest under desk,1600,0,0.71,HIGH,transactional,,office furniture canada
monitor stand for desk,1600,0,1.19,HIGH,transactional,,office furniture canada
secretary desk,1600,0,0.7,HIGH,transactional,,office furniture canada
laptop stand for desk,1600,2,0.65,HIGH,transactional,,office furniture canada
desk riser,1300,0,1.25,HIGH,transactional,,office furniture canada
office chairs canadian tire,1300,0,0.67,HIGH,navigational,transactional,office furniture canada
work desk,1300,0,1.31,HIGH,transactional,informational,office furniture canada
office chair no wheels,1300,0,1.06,HIGH,transactional,,office furniture canada
folding desk,1300,0,0.61,HIGH,transactional,,office furniture canada
outlook out of office,1300,7,,LOW,informational,,office furniture canada
walmart office chairs,1300,9,0.31,HIGH,transactional,,office furniture canada
executive desk,1300,0,2.94,HIGH,navigational,informational,office furniture canada
christie's office plus,1300,0,0.19,LOW,navigational,"informational,commercial",office furniture canada
madill office,1300,0,21.84,LOW,navigational,,office furniture canada
desk risers,1300,0,1.25,HIGH,transactional,,office furniture canada
office cubicle,1300,0,12.02,HIGH,transactional,,office furniture canada
suite office,1300,57,2.19,MEDIUM,navigational,,office furniture canada
darryl office,1300,16,,LOW,navigational,,office furniture canada
karen office,1300,9,,LOW,navigational,"informational,commercial",office furniture canada
office decor,1300,0,0.67,HIGH,commercial,"transactional,informational",office furniture canada
standing desk converter,1300,0,1.51,HIGH,transactional,,office furniture canada
roll top desk,1300,0,0.54,HIGH,transactional,,office furniture canada
office for men,1300,0,0.25,HIGH,informational,commercial,office furniture canada
desk for sale,1300,0,1.26,HIGH,transactional,,office furniture canada
office move pro,1300,5,3.63,LOW,transactional,commercial,office furniture canada
standard desk height,1300,0,1.01,MEDIUM,informational,,office furniture canada
office building,1000,11,3.75,LOW,informational,"navigational,commercial",office furniture canada
wall mounted desk,1000,0,0.72,HIGH,transactional,,office furniture canada
structube office chair,1000,0,0.55,HIGH,transactional,,office furniture canada
makeup desks,1000,0,0.69,HIGH,transactional,"navigational,commercial",office furniture canada
adjustable standing desk,1000,0,2.83,HIGH,transactional,,office furniture canada
mose office,1000,4,,LOW,navigational,,office furniture canada
source office furniture edmonton,1000,0,1.22,MEDIUM,navigational,,office furniture canada
vanity desk mirror,1000,0,0.67,HIGH,transactional,,office furniture canada
vanity desk with mirror,1000,0,0.67,HIGH,transactional,,office furniture canada
ergonomic desk,1000,0,2.76,HIGH,transactional,,office furniture canada
bed desk,1000,0,0.43,HIGH,transactional,,office furniture canada
floating desk,1000,0,0.57,HIGH,transactional,,office furniture canada
the office dinner party,1000,16,,LOW,informational,,office furniture canada
office chair amazon,1000,0,0.5,HIGH,transactional,,office furniture canada
dinner party office,1000,9,,LOW,commercial,"informational,transactional",office furniture canada
desk accessories,1000,0,0.89,HIGH,transactional,,office furniture canada
gaming desks,1000,0,1.79,HIGH,transactional,,office furniture canada
td return to office,1000,3,,LOW,informational,navigational,office furniture canada
desk height,1000,0,1.6,HIGH,informational,transactional,office furniture canada
desk calendar,1000,0,0.64,HIGH,transactional,informational,office furniture canada
ergonomic desk chair,1000,0,2.22,HIGH,transactional,,office furniture canada
comfortable office chair,1000,14,1.51,HIGH,transactional,,office furniture canada
desk with storage,1000,0,0.78,HIGH,transactional,,office furniture canada
uplift desk,1000,17,1.68,HIGH,transactional,,office furniture canada
ergocentric chairs,1000,9,1.59,HIGH,transactional,,office furniture canada
dinner party the office,1000,15,,LOW,commercial,informational,office furniture canada
desk foot rest,1000,0,0.71,HIGH,transactional,,office furniture canada
makeup desk,1000,0,0.69,HIGH,transactional,,office furniture canada
leather office chair,1000,0,2.25,HIGH,transactional,,office furniture canada
small computer desk,1000,0,0.65,HIGH,transactional,,office furniture canada
desk with bookshelf,1000,0,0.67,HIGH,transactional,,office furniture canada
desk drawer,1000,0,1.02,HIGH,transactional,,office furniture canada
sit stand desk canada,1000,0,5.5,HIGH,navigational,,office furniture canada
office chair cushion,1000,0,0.7,HIGH,transactional,,office furniture canada
white office chair,1000,0,1.45,HIGH,transactional,,office furniture canada
office clothes men,1000,0,1.26,HIGH,transactional,"commercial,informational",office furniture canada
desk for makeup,1000,0,0.69,HIGH,transactional,,office furniture canada
best standing desk,880,8,5.64,HIGH,commercial,transactional,office furniture canada
best buy office chairs,880,3,0.99,HIGH,transactional,,office furniture canada
woodcroft strata office,880,0,7.93,LOW,navigational,,office furniture canada
office trailer,880,0,11.48,MEDIUM,informational,commercial,office furniture canada
meme office,880,0,,LOW,navigational,informational,office furniture canada
corner desk small,880,0,0.82,HIGH,transactional,,office furniture canada
home office chair,880,21,1.93,HIGH,transactional,,office furniture canada
amazon desk,880,0,0.28,HIGH,navigational,transactional,office furniture canada
wall desk,880,0,0.89,HIGH,transactional,,office furniture canada
under desk drawer,880,0,1,HIGH,transactional,,office furniture canada
indeed work from home,880,0,2.23,LOW,informational,,office furniture canada
black desk,880,0,1.59,HIGH,transactional,,office furniture canada
office chair ergonomic,880,11,2.64,HIGH,transactional,,office furniture canada
oval office desk,880,13,1.11,LOW,navigational,,office furniture canada
desk light,880,0,0.59,HIGH,transactional,,office furniture canada
desk legs,880,0,0.54,HIGH,transactional,,office furniture canada
dual monitor desk mount,880,2,1.39,HIGH,transactional,,office furniture canada
used office furniture,880,0,2.41,MEDIUM,transactional,,office furniture canada
supreme office supplies,880,4,2.17,LOW,navigational,transactional,office furniture canada
best buy standing desk,880,0,0.47,HIGH,transactional,,office furniture canada
l-shaped office desk,880,0,3.51,HIGH,transactional,,office furniture canada
computer desk with drawers,880,0,0.91,HIGH,transactional,,office furniture canada
office chair mat for carpet,880,0,0.9,HIGH,transactional,,office furniture canada
office interiors,880,21,7.83,MEDIUM,informational,commercial,office furniture canada
best office chairs canada,880,30,3.73,HIGH,commercial,,office furniture canada
office decor ideas,880,8,0.72,HIGH,informational,,office furniture canada
under desk bike,880,0,0.34,HIGH,transactional,,office furniture canada
study chair,880,7,0.47,HIGH,transactional,,office furniture canada
resolute desk,880,14,1.11,LOW,transactional,,office furniture canada
computer desk canada,880,0,1.97,HIGH,navigational,,office furniture canada
best office,880,3,2.86,MEDIUM,navigational,"informational,commercial",office furniture canada
progressive desk,880,0,3.27,HIGH,transactional,,office furniture canada
source office furniture calgary,880,0,1.26,MEDIUM,navigational,,office furniture canada
amazon standing desk,880,0,0.57,HIGH,transactional,,office furniture canada
office setup,720,25,1.96,HIGH,commercial,"transactional,informational",office furniture canada
electric desk,720,0,1.15,HIGH,transactional,,office furniture canada
standing desk with drawers,720,1,2.03,HIGH,transactional,,office furniture canada
lumbar support for office chair,720,0,0.94,HIGH,transactional,,office furniture canada
desk table,720,0,0.89,HIGH,transactional,,office furniture canada
cheap office chairs,720,1,0.93,HIGH,transactional,,office furniture canada
comfy office chair,720,7,0.9,HIGH,transactional,,office furniture canada
drawing desk,720,0,0.59,HIGH,transactional,informational,office furniture canada
white desk with drawers,720,0,1,HIGH,transactional,,office furniture canada
office,110000,98,0.79,LOW,informational,,office chair canada
desk,33100,0,1.18,HIGH,transactional,informational,office chair canada
office chair,33100,16,1.68,HIGH,transactional,,office chair canada
chair,27100,14,0.85,HIGH,transactional,informational,office chair canada
office space,18100,23,8.03,LOW,commercial,informational,office chair canada
standing desk,18100,5,2.73,HIGH,transactional,,office chair canada
ergonomic chairs,14800,4,1.77,HIGH,transactional,,office chair canada
ergonomic chair,14800,1,1.76,HIGH,transactional,,office chair canada
desk chair,9900,9,1.05,HIGH,transactional,,office chair canada
computer desk,9900,2,0.97,HIGH,transactional,,office chair canada
office desk,9900,0,3.16,HIGH,transactional,,office chair canada
ergonomic office chair,9900,2,2.01,HIGH,transactional,,office chair canada
gaming desk,8100,0,1.3,HIGH,transactional,,office chair canada
the office movers,8100,6,,LOW,commercial,,office chair canada
open office,8100,70,0.78,LOW,informational,navigational,office chair canada
the office moving,8100,5,,LOW,navigational,"informational,commercial",office chair canada
l shaped desk,8100,0,2.03,HIGH,transactional,,office chair canada
staples office chairs,6600,0,0.91,HIGH,transactional,,office chair canada
desk lamp,6600,0,0.58,HIGH,transactional,,office chair canada
corner desk,5400,0,1.05,HIGH,transactional,,office chair canada
office furniture,5400,3,15.72,HIGH,transactional,commercial,office chair canada
computer chair,5400,10,0.97,HIGH,transactional,,office chair canada
secret labs chair,5400,23,0.44,HIGH,transactional,,office chair canada
vanity desk,4400,0,0.62,HIGH,transactional,,office chair canada
best office chairs,4400,17,3.77,HIGH,commercial,transactional,office chair canada
desk organizer,4400,0,0.79,HIGH,transactional,,office chair canada
erin office,4400,17,,LOW,navigational,,office chair canada
source office furniture,4400,13,1.1,HIGH,navigational,,office chair canada
sit stand desk,4400,0,3.39,HIGH,transactional,,office chair canada
office pools guest,4400,15,0.03,LOW,navigational,,office chair canada
under desk treadmill,3600,3,1.05,HIGH,transactional,,office chair canada
office customization tool,3600,15,3.95,LOW,informational,"commercial,navigational",office chair canada
small desk,3600,3,0.69,HIGH,transactional,,office chair canada
cocobolo desk,3600,0,0.34,MEDIUM,transactional,,office chair canada
monk office,3600,9,4.5,LOW,informational,navigational,office chair canada
lap desk,3600,0,0.46,HIGH,transactional,,office chair canada
desk mat,3600,0,0.82,HIGH,transactional,,office chair canada
reception desk,2900,0,4.37,HIGH,navigational,"informational,commercial",office chair canada
return to office,2900,0,,LOW,informational,,office chair canada
murphy bed with desk,2900,0,0.83,HIGH,transactional,,office chair canada
loft bed with desk,2900,0,0.79,HIGH,transactional,,office chair canada
kids desk,2900,0,0.75,HIGH,transactional,,office chair canada
the office grind,2900,0,0.05,LOW,informational,,office chair canada
wooden desk,2900,0,1.1,HIGH,transactional,,office chair canada
home office desk,2900,0,2.04,HIGH,transactional,,office chair canada
office chairs canada,2900,0,3.01,HIGH,navigational,"commercial,transactional",office chair canada
structube chairs,2900,0,0.28,HIGH,transactional,,office chair canada
toby office,2900,13,,LOW,navigational,,office chair canada
creed bratton office,2900,11,,LOW,navigational,,office chair canada
white desk,2400,0,1.04,HIGH,transactional,,office chair canada
standing desk canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",office chair canada
lazyboy office chair,2400,0,1.5,HIGH,transactional,,office chair canada
standing desks canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",office chair canada
the brick corporate office,2400,0,1.08,LOW,navigational,,office chair canada
desk treadmill,2400,1,0.83,HIGH,transactional,,office chair canada
home office ideas,1900,23,0.86,HIGH,informational,,office chair canada
desk with drawers,1900,0,0.9,HIGH,transactional,,office chair canada
stand up desk,1900,12,3.59,HIGH,transactional,,office chair canada
desk shelf,1900,0,0.69,HIGH,transactional,,office chair canada
secret labs desk,1900,19,0.65,HIGH,transactional,,office chair canada
your dream desk,1900,9,0.59,LOW,informational,"transactional,commercial",office chair canada
zoho desk,1900,33,30.07,LOW,transactional,,office chair canada
office unicity,1900,0,,LOW,navigational,,office chair canada
kids desk chair,1900,0,0.64,HIGH,transactional,,office chair canada
school desk,1900,0,1.17,MEDIUM,informational,"transactional,navigational",office chair canada
walmart desk,1900,0,0.18,HIGH,transactional,,office chair canada
home office,1900,50,1.53,HIGH,informational,,office chair canada
height adjustable desk,1900,3,1.61,HIGH,transactional,,office chair canada
staples desks,1900,5,1.27,HIGH,transactional,,office chair canada
office table,1900,0,1.87,HIGH,transactional,,office chair canada
denis office supplies,1900,0,5.32,LOW,navigational,,office chair canada
office chair mat,1900,0,1.15,HIGH,transactional,,office chair canada
gabe office,1900,12,,LOW,navigational,,office chair canada
