rank,product_id,handle,title,vendor,price_max,confidence,score,tier,recommended_subs,recommended_brand,detected_line,detected_model,tier_a_enriched,inventory_status,reason
208,9729952809273,dual-coloured-bookcase-15-sizes-available,Dual coloured bookcase (15 sizes available) — 15 sizes,Brant Business Interiors,499.0,high,4,C-MAYBE,bookcases | otg-panels | panels-dividers,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
209,9666435449145,jax-keyboard-tray,Jax keyboard tray,Brant Business Interiors,495.0,med,4,C-MAYBE,desk-top-sit-stand | desktop-sit-stand | sit-stand-workstations,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
210,10085804048697,table-tops,Table tops (17 shapes & sizes),Brant Business Interiors,475.0,med,4,C-MAYBE,tables | side-coffee-table | table-bases,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
211,9103358984505,flip-top-table-48-x-24,"Flip-top table — 48"" x 24""",Brant Business Interiors,459.99,med,4,C-MAYBE,tables | training-flip-top-tables | gfg-storage,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
212,9841866506553,jax-sit-to-stand,Jax sit to stand,Brant Business Interiors,449.99,med,4,C-MAYBE,desk-top-sit-stand | desktop-sit-stand | sit-stand-workstations,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
213,9963313004857,levels-bookcase,Levels bookcase,Brant Business Interiors,449.99,high,4,C-MAYBE,bookcases | office-furniture | room-private-office,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
214,9710311440697,sit-stand-1,Sit stand,Brant Business Interiors,449.99,high,4,C-MAYBE,desk-top-sit-stand | height-adjustable-tables | desktop-sit-stand,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
215,9098360783161,desk-2-drawer-48-x-24-x-29-1,"Desk - 2-drawer — 48"" x 24"" x 29""",Brant Business Interiors,429.99,med,4,C-MAYBE,desks | pedestal-drawers-storage | storage,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
216,10197008449849,fame-high-back-weight-sensing-synchro-tilter,Fame | High Back Weight Sensing Synchro-Tilter,Brant Business Interiors,429.99,high,4,C-MAYBE,task-chairs | chair-mats | medium-back-seating,Brant Business Interiors,,,N,in-stock-1500,+3 price>=200; +1 metafields present
217,9689001951545,oci-platinum-monitor-arms,Oci platinum monitor arms,Brant Business Interiors,425.0,med,4,C-MAYBE,monitor-arms | desk-top-dividers | metal-vertical-files,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
218,9747448791353,comfort-time-ultra-petit-seat-multi-tilter-chair-high-back-baomvl1880g5,Comfort-time ultra petit seat multi-tilter chair high back — BAOMVL1880G5,Brant Business Interiors,419.99,med,4,C-MAYBE,task-chairs | chair-mats | medium-back-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
219,9103169388857,electronic-lock-business-safes,Electronic lock business safes,Brant Business Interiors,416.89,low,4,C-MAYBE,fire-resistant-file-cabinets-safes | chair-mats,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
220,9103180366137,safe-digital-fire-water-file,Safe digital fire/water file,Brant Business Interiors,401.19,low,4,C-MAYBE,fire-resistant-file-cabinets-safes | lateral-file-cabinets-storage | vertical-file-cabinets-storage,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
221,9769344172345,craft-curve-120-degree-unit-2,Craft | curve-120 degree unit,Brant Business Interiors,399.99,low,4,C-MAYBE,otg-lounge | cafe-lounge-seating | lounge-chairs-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
222,9776144908601,marlee-synchro-tilter-chairs,Marlee synchro-tilter chairs,Brant Business Interiors,399.99,high,4,C-MAYBE,task-chairs | room-private-office | chair-mats,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
223,9103337423161,round-table-x-base-5,Round table - x-base,Brant Business Interiors,399.99,med,4,C-MAYBE,tables | bases | round-square-tables,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
224,10192184049977,ultra-guest-chair,Ultra guest chair,Brant Business Interiors,399.99,low,4,C-MAYBE,medium-back-seating | chair-mats | guest-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
225,9039323201849,zim-synchro-tilter-chair-high-back-mesh-mesh-back-black,Zim synchro-tilter chair high back mesh mesh back,Brant Business Interiors,399.99,high,4,C-MAYBE,task-chairs | chair-mats | medium-back-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
226,9729492975929,rebound-armchair-upholstered-seat-r5apug,"Rebound armchair, upholstered seat (r5apug) — R5APUG",Brant Business Interiors,389.99,low,4,C-MAYBE,stools-drafting-chairs | task-chairs | chair-mats,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
227,9680085844281,round-table-29-high,"Round table 29"" high — 29""",Brant Business Interiors,389.0,med,4,C-MAYBE,tables | desk-top-dividers | metal-vertical-files,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
228,9683134611769,ultima-adjustable-stool,Ultima adjustable stool,Brant Business Interiors,388.99,med,4,C-MAYBE,stools | height-adjustable-tables,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
229,10017041875257,spritz-with-arms-and-castors-6765c,Spritz with arms and castors — 6765C,Brant Business Interiors,385.99,low,4,C-MAYBE,stools-drafting-chairs | global-teknion | gfg-desks,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
230,9943309746489,new-pneumatic-single-arm-monitor-stand,"""new"" pneumatic single-arm monitor stand",Brant Business Interiors,369.99,high,4,C-MAYBE,monitor-arms | desk-top-sit-stand | desktop-sit-stand,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
231,9666759852345,lumi-high-back-synchro-tilter-chair,Lumi | high back synchro-tilter chair,Brant Business Interiors,369.99,high,4,C-MAYBE,task-chairs | otg-accessories | chair-mats,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
232,9725750247737,xplorer-51-gaming-chair,Xplorer 51 gaming chair,Brant Business Interiors,369.99,med,4,C-MAYBE,gaming | chair-mats | medium-back-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
233,9666387476793,yoho-armless-drafting-task-chair-stool,Yoho | armless drafting task chair stool,Brant Business Interiors,369.99,med,4,C-MAYBE,task-chairs | chair-mats | medium-back-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
234,9114131923257,table-18x28,"Table — 18""x28""",Brant Business Interiors,354.59,med,4,C-MAYBE,tables | gfg-desks | office-suites-desks,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
235,9113895928121,table-29-x-28-3,"Table — 29"" x 28""",Brant Business Interiors,350.19,med,4,C-MAYBE,tables | cafeteria-breakroom-tables | gfg-tables,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
236,9698674803001,bookcase-31-5-wide-x-13-75-deep,"Bookcase 32"" wide x 14"" deep — 14""",Brant Business Interiors,349.99,high,4,C-MAYBE,bookcases,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
237,9666758738233,six-13-medium-back-multi-tilter,Six 13 | medium back multi-tilter,Brant Business Interiors,339.99,med,4,C-MAYBE,task-chairs | medium-back-seating | otg-accessories,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
238,9673690317113,coffee-table-chrome,Coffee table — Chrome,Brant Business Interiors,329.99,med,4,C-MAYBE,tables | side-coffee-table | coffee-tables,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
239,9769338798393,half-round-40-unit,"Half round 40"" unit — 40""",Brant Business Interiors,329.99,low,4,C-MAYBE,otg-lounge | cafe-lounge-seating | lounge-chairs-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
240,10084137697593,lateral-file-used-5-drawer-beige-nevada,Lateral file (used) 5 drawer beige nevada — 5 drawer,Brant Business Interiors,329.99,low,4,C-MAYBE,lateral-file-cabinets-storage | room-open-plan | fire-resistant-file-cabinets,Brant Business Interiors,,,N,in-stock-7,+3 price>=200; +1 metafields present
241,9729485898041,the-twilight-armchair-wood-veneer-back-2198ws,"The twilight armchair, wood veneer back (2198ws) — 2198WS",Brant Business Interiors,329.99,low,4,C-MAYBE,guest-seating | medium-back-seating | gfg-chairs,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
242,9666433515833,triple-monitor-arm,Triple monitor arm,Brant Business Interiors,329.99,med,4,C-MAYBE,monitor-arms | desk-top-dividers,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
243,9673700376889,end-table-glass-top,End table glass top,Brant Business Interiors,325.0,med,4,C-MAYBE,tables | desk-top-dividers | end-tables-tables,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
244,9673698214201,round-table-glass-top-1,Round table glass top,Brant Business Interiors,325.0,med,4,C-MAYBE,tables | desk-top-dividers | metal-vertical-files,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
245,9778210931001,sonic-bar-stools-for-42-high-tables,"Sonic bar stools for 42"" high tables — 42""",Brant Business Interiors,323.0,med,4,C-MAYBE,stools | bar-height-tables | meeting-conference-room-tables,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
246,9769341550905,craft-rectangle-unit-1,Craft | rectangle unit,Brant Business Interiors,319.99,low,4,C-MAYBE,otg-lounge | cafe-lounge-seating | lounge-chairs-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
247,9822363451705,dolly-for-sonic-chairs-6517ws,Dolly for sonic chairs — 6517WS,Brant Business Interiors,319.0,low,4,C-MAYBE,lounge-chairs-seating | gfg-chairs | obusforme-chairs,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
248,9666433220921,dual-monitor-arm,Dual monitor arm,Brant Business Interiors,299.99,med,4,C-MAYBE,monitor-arms | desk-top-dividers,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
249,10107361100089,folding-chair-cart,Folding chair cart,Brant Business Interiors,299.99,low,4,C-MAYBE,folding-stacking-chairs-carts | task-chairs | chair-mats,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
250,10197752348985,part-time-armless-posture-task-chair,Part-Time | Armless Posture Task Chair,Office Central & Brant Business Interiors,299.99,med,4,C-MAYBE,task-chairs | room-private-office | chair-mats,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
251,9693091889465,stream-armless-chair-polypropylene-seat-back-2075app,"Stream armless chair, polypropylene seat & back — 2075APP",Brant Business Interiors,299.99,low,4,C-MAYBE,task-chairs | lounge-chairs-seating | medium-back-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
252,9693091201337,stream-armchair-polypropylene-seat-back-2075app-1,"Stream armchair, polypropylene seat & back (2075app) — 2075APP",Brant Business Interiors,298.99,low,4,C-MAYBE,medium-back-seating | stools-seating | gfg-chairs,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
253,9673683566905,end-table-chrome,End table — Chrome,Brant Business Interiors,289.99,med,4,C-MAYBE,tables | end-tables-tables | fire-resistant-file-cabinets,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
254,9776145465657,yoho-task-chairs,Yoho task chairs,Brant Business Interiors,289.99,med,4,C-MAYBE,task-chairs | folding-stacking-chairs-carts | leather-faux-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
255,9712078848313,coffee-table-seating,Coffee table & seating,Brant Business Interiors,288.0,med,4,C-MAYBE,tables | side-coffee-table | otg-lounge,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
256,9103347024185,craft-wedge-overtable-chrome-leg-1,Craft wedge overtable chrome leg,Brant Business Interiors,288.0,low,4,C-MAYBE,cafeteria-breakroom-tables | gfg-tables | otg-lounge,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
257,9103179972921,folding-table-8,Folding table,Brant Business Interiors,285.89,med,4,C-MAYBE,tables | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
258,10196145045817,part-time-task-chair-with-height-adjustable-arms-mvl,Part-Time | Task Chair with Height Adjustable Arms MVL,Brant Business Interiors,279.99,med,4,C-MAYBE,task-chairs | room-private-office | chair-mats,Brant Business Interiors,,,N,in-stock-1000,+3 price>=200; +1 metafields present
259,9769342763321,craft-round-20-unit,"Craft | round 20"" unit — 20""",Brant Business Interiors,269.99,low,4,C-MAYBE,otg-lounge | cafe-lounge-seating | lounge-chairs-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
260,9666387116345,danio-armless-height-adjustable-task-stool,Danio | armless height adjustable task stool,Brant Business Interiors,259.99,med,4,C-MAYBE,height-adjustable-tables | fire-resistant-file-cabinets,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
261,9667787161913,stacking-chair-sas-10-plus-colours,Stacking chair sas (10 plus colours),Brant Business Interiors,259.99,low,4,C-MAYBE,folding-stacking-chairs-carts | reception-side-guest-chairs | stools-drafting-chairs,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
262,9723829223737,desk-lamp-5-30-w-led-bulb-adjustable-metal-acrylic-desk-mountable,"Desk lamp - 5.30 w LED bulb - adjustable - metal, acrylic - desk mountable",Brant Business Interiors,259.98,med,4,C-MAYBE,desks | height-adjustable-tables | lighting,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
263,9103178924345,folding-table-60-x-30-1,"Folding table — 60"" x 30""",Brant Business Interiors,246.9,med,4,C-MAYBE,tables | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
264,9103180693817,safe-small-security-safe-with-electronic-lock-8-7-x-13-8-x-10-6-3,"Safe small security safe with electronic lock — 8.7"" x 13.8"" x 10.6""",Brant Business Interiors,239.99,low,4,C-MAYBE,fire-resistant-safes-storage | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
265,9712096084281,craft-cube-square-unit,Craft cube | square unit,Brant Business Interiors,229.99,low,4,C-MAYBE,otg-lounge | cafe-lounge-seating | lounge-chairs-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
266,9769341485369,craft-wedge-unit,Craft | wedge unit,Brant Business Interiors,229.99,low,4,C-MAYBE,otg-lounge | cafe-lounge-seating | lounge-chairs-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
267,9103460696377,file-buddy-swivel-stool-black-vinyl,File buddy swivel stool black — Vinyl,Brant Business Interiors,229.99,low,4,C-MAYBE,stools-drafting-chairs | gfg-storage | global-teknion,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
268,9098369335609,polycarbonate-chairmat-for-hard-floors-hard-floor-60x-46-1,"Polycarbonate chairmat for hard floors - hard floor — 60""x 46""",Brant Business Interiors,229.99,low,4,C-MAYBE,chair-mats | big-heavy-seating | chairmat-accessories,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
269,9099975065913,carpeted-floor-60x-46,"Carpeted floor — 60""x 46""",Brant Business Interiors,219.99,low,4,C-MAYBE,chair-mats | room-private-office | big-heavy-seating,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
270,9100256477497,l-shaped-medium-pile-chair-mat-with-lip-66-x-60-2,"L-shaped medium pile chair mat with lip — 66"" x 60""",Brant Business Interiors,219.99,low,4,C-MAYBE,chair-mats | room-private-office | medium-back-seating,Brant Business Interiors,,,N,not-tracked,+3 price>=200; +1 metafields present
271,10024625176889,solo-gues-chair,Solo guest chair — 5225SSU,Brant Business Interiors,218.02,low,4,C-MAYBE,reception-side-guest-chairs | task-chairs | chair-mats,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
272,9982113481017,eor-guest-chair-mvl3920b,Eor guest chair — MVL3920B,Brant Business Interiors,209.99,low,4,C-MAYBE,guest-seating | leather-faux-seating | medium-back-seating,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present
273,9693098705209,flap-folding-chair-6775-1,Flap folding chair (6775) — 6775,Brant Business Interiors,189.99,none,4,C-MAYBE,chair-mats | folding-stacking-chairs-carts,Brant Business Interiors,,6775,N,sold-out,+2 model number in title; +1 metafields present; +1 no claude_confidence (needs manual research)
274,9667777626425,stacking-chair-popcorn-6711,Stacking chair popcorn — 6711,Brant Business Interiors,159.99,none,4,C-MAYBE,chair-mats | folding-stacking-chairs-carts | monitor-arms,Brant Business Interiors,,6711,N,sold-out,+2 model number in title; +1 metafields present; +1 no claude_confidence (needs manual research)
275,9693070721337,lectern-storage-stand,Lectern storage stand,Brant Business Interiors,1780.0,med,3,C-MAYBE,storage | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title
276,9722789822777,credenza-sliding-doors,Credenza sliding doors,Brant Business Interiors,1599.99,high,3,C-MAYBE,credenzas | storage | height-adjustable-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title
277,9763429646649,credenza-lflf-1,Credenza lflf,Brant Business Interiors,1399.99,high,3,C-MAYBE,credenzas | storage | lateral-file-cabinets-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title
278,9763460579641,credenza-lfmsu,Credenza lfmsu,Brant Business Interiors,1399.99,high,3,C-MAYBE,credenzas | storage | lateral-file-cabinets-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title
279,9455162884409,desk-double-pedestal,Desk double pedestal,Brant Business Interiors,1399.0,high,3,C-MAYBE,pedestals | desks | storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title
280,9693064692025,credenza-60x20,"Credenza — 60""x20""",Brant Business Interiors,1299.99,high,3,C-MAYBE,credenzas | storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title
281,9690804846905,lockers-2-tier-assembled,Lockers 2 tier (assembled),Brant Business Interiors,1279.99,med,3,C-MAYBE,lockers | storage-cabinets-lockers,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title
282,9722804863289,storage-wardrobe-unit,Storage wardrobe unit,Brant Business Interiors,1249.99,med,3,C-MAYBE,storage | wardrobe-storage | gfg-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title
283,9763504587065,wardrobe,Wardrobe,Brant Business Interiors,699.99,low,3,C-MAYBE,wardrobe-storage | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -3 thin body + generic title
284,10043552071993,sonic-armchair-polypropylene-seat-back-6513,"Sonic armchair, polypropylene seat & back (6513) — 6513",Brant Business Interiors,199.99,low,3,C-MAYBE,guest-seating | lecture-hall-seating | medium-back-seating,Brant Business Interiors,,6513,N,sold-out,+2 model number in title; +1 metafields present
285,9667781034297,stacking-chair-sonic-6508,Stacking chair sonic — 6508,Brant Business Interiors,141.77,med,3,C-MAYBE,task-chairs | guest-seating | lecture-hall-seating,Brant Business Interiors,,6508,N,sold-out,+2 model number in title; +1 metafields present
286,10023161004345,arm-caps-for-2330-chair,Arm caps for 2330 chair,Brant Business Interiors,25.0,low,3,C-MAYBE,accessories | otg-accessories | chairmat-accessories,Brant Business Interiors,,2330,N,sold-out,+2 model number in title; +1 metafields present
287,9795588981049,hutch-5-sizes,Hutch — 5 sizes,Brant Business Interiors,499.99,none,2,C-MAYBE,laminate-bookcases,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; -3 thin body + generic title; +1 no claude_confidence (needs manual research)
288,10102429090105,corner-maker-12,Corner maker — 12,Brant Business Interiors,175.99,none,2,C-MAYBE,height-adjustable-tables | keyboard-trays,Brant Business Interiors,,,N,sold-out,+1 metafields present; +1 no claude_confidence (needs manual research)
289,9723869462841,sphere-power,Sphere power,Brant Business Interiors,150.0,none,2,C-MAYBE,power-modules-accessories,Brant Business Interiors,,,N,sold-out,+1 metafields present; +1 no claude_confidence (needs manual research)
290,9842388468025,power-plant-500222pp90-daisychaining,Power plant 500222PP90 daisychaining,Brant Business Interiors,149.99,none,2,C-MAYBE,desks | gfg-desks | heartwood-desks,Brant Business Interiors,,,N,sold-out,+1 metafields present; +1 no claude_confidence (needs manual research)
291,9666436006201,easy-pull-in-out-keyboard-tray,Easy pull in & out keyboard tray,Brant Business Interiors,145.99,none,2,C-MAYBE,keyboard-trays,Brant Business Interiors,,,N,sold-out,+1 metafields present; +1 no claude_confidence (needs manual research)
292,9676929270073,banquet-chair-stacking,Banquet chair stacking,Brant Business Interiors,119.99,none,2,C-MAYBE,chair-mats | folding-stacking-chairs-carts | medium-back-seating,Brant Business Interiors,,,N,sold-out,+1 metafields present; +1 no claude_confidence (needs manual research)
293,9828101783865,ganging-plates-for-terina-tables-gfcngfp,Ganging plates for terina tables gfcngfp,Brant Business Interiors,25.0,none,2,C-MAYBE,gfg-tables | heartwood-tables | otg-tables,Brant Business Interiors,,,N,sold-out,+1 metafields present; +1 no claude_confidence (needs manual research)
294,9748322746681,teknion-byward,"Teknion ""byward""",Teknion,0.0,none,2,C-MAYBE,global-teknion | heartwood-storage | oecm-eligible,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; +1 no claude_confidence (needs manual research); -5 quote-only $0
295,9748319306041,teknion-chronicle,Teknion Chronicle,Teknion,0.0,none,2,C-MAYBE,global-teknion,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; +1 no claude_confidence (needs manual research); -5 quote-only $0
296,9702146867513,untethered-go-further-go-anywhere-by-teknion,"Teknion Untethered: go further, go anywhere by:",Teknion,0.0,none,2,C-MAYBE,global-teknion | room-private-office | mobile-pedestals,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; +1 no claude_confidence (needs manual research); -5 quote-only $0
297,9764262936889,premium-plinth-cylinder-table-recessed-base-2,"Premium plinth cylinder table, recessed base",Brant Business Interiors,779.99,low,1,C-MAYBE,height-adjustable-tables | gfg-tables | heartwood-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; -5 parts/accessory
298,9884899213625,desk-shells,Desk shells,Brant Business Interiors,499.99,med,1,C-MAYBE,desks,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; -3 thin body + generic title
299,9834039345465,mobile-pedestal-file-file,Mobile pedestal file / file,Brant Business Interiors,458.99,high,1,C-MAYBE,pedestals | storage | fire-resistant-file-cabinets,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; -3 thin body + generic title
300,9664277971257,high-back-tilter-with-arms,High back tilter with arms,Brant Business Interiors,399.99,med,1,C-MAYBE,task-chairs | medium-back-seating | monitor-arms,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; -3 thin body + generic title
301,9851749335353,monitor-arms,Monitor arms,Brant Business Interiors,199.99,med,1,C-MAYBE,monitor-arms | desk-top-dividers | room-private-office,Brant Business Interiors,,,N,sold-out,+1 metafields present
302,9693105062201,privacy-desk-top-dividers,Privacy desk top dividers,Brant Business Interiors,185.0,med,1,C-MAYBE,desk-top-dividers | otg-panels | panels-dividers,Brant Business Interiors,,,N,sold-out,+1 metafields present
303,9103184265529,coat-tree-hook-stand-1,Coat tree hook stand,Brant Business Interiors,179.99,low,1,C-MAYBE,desk-top-sit-stand-ergonomic-products | lounge-reception | oecm-eligible,Brant Business Interiors,,,N,not-tracked,+1 metafields present
304,9098388799801,door-32-x-32-1,"Door — 32"" x 32""",Brant Business Interiors,179.99,med,1,C-MAYBE,bookcases | office-furniture | room-private-office,Brant Business Interiors,,,N,sold-out,+1 metafields present
305,9103186002233,floor-chairmat-carpet-hard-floor-60-x-46,"Floor chairmat carpet, hard floor — 60"" x 46""",Brant Business Interiors,169.99,low,1,C-MAYBE,chair-mats | chairmat-accessories,Brant Business Interiors,,,N,not-tracked,+1 metafields present
306,9665634435385,ionic-feet-1-pair,Ionic feet (1 pair),Brant Business Interiors,149.99,low,1,C-MAYBE,otg-panels | panels-dividers,Brant Business Interiors,,,N,sold-out,+1 metafields present
307,9723830337849,led-desk-lamp-with-wireless-charger-led,LED desk lamp with wireless charger - LED,Brant Business Interiors,134.2,med,1,C-MAYBE,desks,Brant Business Interiors,,,N,sold-out,+1 metafields present
308,9832764408121,hardware-for-ceiling-tiles,Hardware for ceiling tiles,Brant Business Interiors,99.99,low,1,C-MAYBE,room-dividers-panels-dividers | otg-panels | meeting-conference-room-tables,Brant Business Interiors,,,N,sold-out,+1 metafields present
309,9943316529465,laptop-holder-for-100-ma1c-100-ma2c-monitor-arms,Laptop holder for 100-MA1C & 100-MA2C monitor arms only,Brant Business Interiors,89.99,med,1,C-MAYBE,monitor-arms | desks | gfg-desks,Brant Business Interiors,,,N,sold-out,+1 metafields present
310,9963964367161,follower-block-mvlfb,Follower block mvlfb,Brant Business Interiors,29.0,low,1,C-MAYBE,metal-vertical-files | vertical-file-cabinets-storage | fire-resistant-file-cabinets,Brant Business Interiors,,,N,sold-out,+1 metafields present
311,9748326187321,teknion-ac-executive,"Teknion ""ac executive""",Teknion,0.0,med,1,C-MAYBE,meeting-tables | credenzas | storage,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; -5 quote-only $0
312,9748332216633,teknion-boardroom,"Teknion ""boardroom""",Teknion,0.0,med,1,C-MAYBE,boardroom | meeting-tables | global-teknion,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; -5 quote-only $0
313,9748330873145,teknion-lounge,"Teknion ""lounge""",Teknion,0.0,med,1,C-MAYBE,lounge | global-teknion | otg-lounge,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; -5 quote-only $0
314,9748321435961,teknion-expansion,Teknion Expansion,Teknion,0.0,low,1,C-MAYBE,office-furniture | global-teknion | heartwood-storage,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; -5 quote-only $0
315,9667845456185,teknion-glass-walls,Teknion Glass walls,Teknion,0.0,med,1,C-MAYBE,walls | task-chairs | global-teknion,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; -5 quote-only $0
316,9748339360057,teknion-seating,Teknion Seating,Teknion,0.0,med,1,C-MAYBE,seating | medium-back-seating | global-teknion,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; -5 quote-only $0
317,9682842616121,teknion-zones,Teknion Zones,Teknion,0.0,med,1,C-MAYBE,desk-top-dividers | room-private-office | office-furniture,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; -5 quote-only $0
318,9700992221497,tower-charging-station-with-usb-ports-2-colour-options,Tower charging station with USB ports. 2 colour options. — 2 colour,Brant Business Interiors,450.0,none,0,D-SKIP,bar-height-tables | metal-vertical-files | power-modules-accessories,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; -5 parts/accessory; +1 no claude_confidence (needs manual research)
319,9665676181817,clamp-on-power-bar-and-usb-charging-station,Clamp-on power bar and USB charging station,Brant Business Interiors,229.99,none,0,D-SKIP,room-private-office | bar-height-tables | desk-top-sit-stand-ergonomic-products,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; -5 parts/accessory; +1 no claude_confidence (needs manual research)
