handle,title,type_bucket,product_type,vendor,sold_orders,sold_revenue,has_image,has_price,all_oos,rule_applied,proposed_action,reason,proposed_tags,admin_url
sonic-bar-stools-for-42-high-tables,"Sonic Bar Stools for 42"" High Tables",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9778210931001
sonic-armchair-polypropylene-seat-back-6513,"Sonic™ Armchair, Polypropylene Seat & Back (6513)",Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/10043552071993
sonic-armchair-upholstered-seat-polypropylene-back-casters-6574,"Sonic™ Armchair, Upholstered Seat & Polypropylene Back, Casters (6574)",Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9945372459321
sora-mesh-back-chair-6941-6942,Sora Mesh Back Chair 6941 6942,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9828305142073
stacking-chair-duet-glb6621,Stacking Chair Duet GLB6621,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9667770679609
stacking-chair-popcorn-6711,Stacking Chair Popcorn 6711,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9667777626425
stacking-chair-sas-10-plus-colours,Stacking Chair SAS (10 Plus Colours),Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9667787161913
stacking-chair-sonic-6508,Stacking Chair Sonic 6508,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9667781034297
stream-armchair-polypropylene-seat-back-2075app-1,"Stream™ Armchair, Polypropylene Seat & Back (2075APP)",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9693091201337
stream-armless-chair-polypropylene-seat-back-2075app,"Stream™ Armless Chair, Polypropylene Seat & Back 2075APP",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9693091889465
student-chairs-3-sizes,Student Chairs (3 sizes),Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/10012482797881
supra-x-chair-1,Supra X™ Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9795527344441
tl-high-back-multi-tilter,TL | High Back Multi-Tilter,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9664286523705
tl-high-back-synchro-tilter,TL | High Back Synchro-Tilter,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9770566779193
the-accord-tilter-high-back-chair-1,The Accord Tilter High Back Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9771515150649
the-erin-armless-chair-wood-legs-gc36530,"The Erin Armless Chair, Wood Legs (GC36530)",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9729480393017
the-twilight-armchair-wood-veneer-back-2198ws,"The Twilight Armchair, Wood Veneer Back (2198WS)",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9729485898041
ultima-adjustable-stool,Ultima Adjustable Stool,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9683134611769
ultra-medium-back-guest-chair-with-arms-mvl11742,Ultra | Medium Back Guest Chair with Arms MVL11742,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/10168477090105
xplorer-51-gaming-chair,XPlorer 51 Gaming Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9725750247737
yoho-task-chairs,Yoho Task Chairs,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9776145465657
yoho-armless-drafting-task-chair-stool,Yoho | Armless Drafting Task Chair Stool,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9666387476793
yoho-medium-back-task-chair-mvl2778,Yoho | Medium Back Task Chair MVL2778,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9778292195641
l-shaped-desk-with-double-pedestals-72w-x-78d,"""L"" Shaped Desk with Double Pedestals - 72""W x 78""D",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9726668308793
l-shaped-desk-with-single-pedestal-60w-x-72d,"""L"" Shaped Desk with Single Pedestal - 60""W x 72""D",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9726671814969
u-shaped-desk-72w-x-96d,"""U"" Shaped Desk - 72""W x 96""D",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9726665031993
u-shaped-desk-with-3-stage-height-adjustable-table,"""U"" Shaped Desk with 3-Stage Height Adjustable Table",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9726676795705
u-shaped-suite-with-table-desk-72w-x-96d,"""U"" Shaped Suite with Table Desk - 72""W x 96""D",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9726645797177
4-person-workstation,4 Person Workstation,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9860596138297
agile-double-sided-8-pod-height-adjustable-shared-desk,Agile Double Sided 8-Pod Height Adjustable Shared Desk,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9688170398009
alphabetter-stand-up-desk,AlphaBetter Stand-Up Desk,Desks,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/10170179911993
atlas-sit-to-stand-height-adjustable-desk,Atlas Sit to Stand Height Adjustable Desk,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9714121933113
bow-front-desk-72x42,"Bow Front Desk 72""X42""",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9688271159609
contemporary-metal-desk,Contemporary Metal Desk,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9911124263225
desk-2-drawer-48-x-24-x-29-1,"Desk - 2-Drawer - 48"" x 24"" x 29""",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9098360783161
desk-double-pedestal,Desk Double Pedestal,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9455162884409
desk-l-shape-with-drawers,Desk L-Shape with Drawers,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9455233368377
desk-lamp-5-30-w-led-bulb-adjustable-metal-acrylic-desk-mountable,"Desk Lamp - 5.30 W LED Bulb - Adjustable - Metal, Acrylic - Desk Mountable",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9723829223737
desk-power-grommet,Desk Power Grommet,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9723863007545
desk-shells,Desk Shells,Desks,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9884899213625
desk-single-pedestal,Desk Single Pedestal,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9455188476217
desk-top-divider-divide,Desk Top Divider DIVIDE,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9693141827897
desk-top-dividers,Desk Top Dividers,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9693140713785
desk-top-dividers-1,Desk Top Dividers,Desks,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9942359015737
desk-u-shape-mlp205-1,Desk U-Shape,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9039376023865
desktop-riser-black-2,Desktop Riser Black,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9103475704121
desktop-sit-stand-workstation-mvl5230b0,Desktop Sit-Stand Workstation MVL5230B0,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9782589817145
electric-dual-monitor-height-adjustable-standing-desk-workstation-dc450,Electric Dual Monitor Height Adjustable Standing Desk Workstation DC450,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9103473934649
electric-height-adjustable-standing-desk-workstation-4,Electric Height Adjustable Standing Desk Workstation,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9103471608121
executive-suites-height-adjustable-desk,Executive Suites Height Adjustable Desk,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, private-office",https://admin.shopify.com/store/office-central/products/9726800527673
executive-workstation-10x10,Executive Workstation 10'x10',Desks,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, private-office",https://admin.shopify.com/store/office-central/products/9897192554809
honor-roll-dsq-1824-pb-table-desk-square-leg-base-4-legs-x-24-table-top-width-x-18-table-top-depth-5-each,"Honor Roll -DSQ-1824-PB Table Desk - Square Leg Base - 4 Legs x 24"" Table Top Width x 18"" Table Top Depth 5 EACH",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9039401713977
innovations-l-shape-desk-with-hutch,INNOVATIONS L-Shape Desk with Hutch,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9785116819769
l-shape-desk-set-72x72,"L-Shape Desk Set 72""x72"" BBF/FF INNOVATIONS",Desks,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9893782552889
l-shape-desk-with-36h-privacy-panel,"L-Shape Desk with 36""H Privacy Panel",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9840940810553
l-shape-desk-with-36h-privacy-panel-1,"L-Shape Desk with 36""H Privacy Panel",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9840946479417
l-shape-desk-with-hutch,"L-Shape Desk with Hutch 72""X72""",Desks,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9893597905209
led-desk-lamp-with-usb-and-night-light,LED Desk Lamp with USB and Night Light,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9723832435001
led-desk-lamp-with-wireless-charger-led,LED Desk Lamp with Wireless Charger - LED,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9723830337849
lotus-dx-sit-stand-workstation-dual-monitor-arm-extra,Lotus DX Sit-Stand Workstation (Dual Monitor Arm Extra),Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9667830776121
metal-apex-desk,Metal APEX Desk,Desks,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9911112433977
metal-desk-laminate-top,Metal Desk Laminate Top,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9683142836537
modern-grigio-reception-desk,Modern Grigio Reception Desk,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, reception",https://admin.shopify.com/store/office-central/products/9788847030585
desk-single-pedestal-1,NEWLAND | DOUBLE PEDESTAL DESK,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9455190606137
privacy-desk-top-dividers,Privacy Desk Top Dividers,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9693105062201
reception-desk-84-x-84-1,"Reception Desk - 84"" x 84""",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, reception",https://admin.shopify.com/store/office-central/products/9098379854137
soho-desk-single-pedestal-2-sizes,SOHO Desk Single Pedestal 2 sizes,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9688274895161
safco-2130sl-desk-mount-for-monitor-keyboard,"Safco 2130SL Desk Mount for Monitor, Keyboard",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9710313079097
single-pedestal-desk-60w-x-30d,"Single Pedestal Desk - 60""W x 30""D",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9726655791417
single-pedestal-desk-nlp232,Single Pedestal Desk NLP232,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9782658629945
sit-stand-1,Sit Stand,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9710311440697
sit-stand-fellowes-lotus-dual-arm-not-included,Sit Stand Fellowes Lotus (Dual Arm not included),Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9667821994297
sit2stand-series-sit-stand-workstation,Sit2Stand Series Sit-Stand Workstation,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9688143266105
standing-desk-for-corner-desk-5,Standing Desk for Corner Desk,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9103350169913
student-desk,Student Desk,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9682495111481
student-desk-1,Student Desk,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9682497536313
student-desk-carol-single-double-sided,Student Desk Carol Single & Double Sided,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9724689940793
table-desk-13-colour-options,Table Desk 13 Colour options,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9455249195321
table-desk-height-adjustable,Table Desk Height Adjustable,Desks,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/10086725615929
u-shape-d-top-workstation,U-Shape D-Top Workstation,Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9720842944825
workstation-96-x-50-x-29-4-person-station,"Workstation - 96"" x 50"" x 29"" (4 Person Station)",Desks,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"desks, open-plan",https://admin.shopify.com/store/office-central/products/9103363014969
arlo-lounge-swivel-task-chair-1,Arlo | Lounge Swivel Task Chair,Lounge,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"lounge, lounge",https://admin.shopify.com/store/office-central/products/9759454560569
ml-series-lounge-chair,ML Series Lounge Chair,Lounge,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"lounge, lounge",https://admin.shopify.com/store/office-central/products/9676178981177
rambler-ottoman-8-shape-size-options,Rambler Ottoman (8 Shape & Size),Lounge,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,lounge,https://admin.shopify.com/store/office-central/products/9769354592569
the-foster-recliner,The Foster Recliner,Lounge,Recliners,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,lounge,https://admin.shopify.com/store/office-central/products/9462257615161
wind-lounge-seating,Wind Lounge Seating,Lounge,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"lounge, lounge",https://admin.shopify.com/store/office-central/products/9676171379001
u-shaped-suite-with-rectangular-island,"""U"" SHAPED SUITE WITH RECTANGULAR ISLAND NLP324",Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9726648353081
av-stand-sa-81-3016,AV Stand SA-81-3016,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9846115074361
aktivity-puddle,Aktivity Puddle,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9769301311801
array-stand-as-air-purifier-1,Array™ Stand AS Air Purifier,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9712563224889
carpeted-floor-48-x-36-6,"Carpeted Floor - 48"" x 36""",Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9099976245561
carpeted-floor-48-x-60,"Carpeted Floor - 48"" x 60""",Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9100253757753
carpeted-floor-48-x-60-1,"Carpeted Floor - 48"" x 60""",Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9100254708025
carpeted-floor-60x-46,"Carpeted Floor - 60""x 46""",Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9099975065913
circular-reception-unit-w-41-r,Circular Reception Unit W-41-R,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,reception,https://admin.shopify.com/store/office-central/products/9843066274105
cord-cover,Cord Cover Snake,Other,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/10029504528697
craft-cube-square-unit,Craft Cube | Square Unit,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9712096084281
craft-curve-120-degree-unit-2,Craft | Curve-120 Degree Unit,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9769344172345
craft-rectangle-unit-1,Craft | Rectangle Unit,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9769341550905
craft-round-20-unit,"Craft | Round 20"" Unit",Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9769342763321
craft-wedge-unit,Craft | Wedge Unit,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9769341485369
delivery,Delivery,Other,Service,Office Central & Brant Business Interiors,0,0.0,N,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/10179884024121
dolly-7,Dolly,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9103185183033
door-32-x-32-1,"Door - 32"" x 32""",Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9098388799801
fax-printer-machine-stand,"Fax, Printer, Machine Stand",Other,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9968013639993
fellowes-array-wall-stand-air-purification,Fellowes Array Wall & Stand Air Purification,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9712562045241
fellowes-array-ceiling-ac2-air-purifier,Fellowes Array® Ceiling AC2 Air Purifier,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9712548118841
fellowes-array-recess-ar-air-purifier-1,Fellowes Array™ Recess AR Air Purifier,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9712556441913
foundations-next-gen-serenity-compact-crib,Foundations Next Gen Serenity Compact Crib,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9685414871353
foundations-sport-splash-3-seat-strollers,Foundations Sport Splash 3-Seat Strollers,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9685444297017
grommet-hole-cover,Grommet Hole & Cover,Other,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/10085789335865
half-round-40-unit,"Half Round 40"" Unit",Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9769338798393
humanscale-nova-lighting,Humanscale Nova Lighting,Other,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9983576506681
impromptu-lectern-1,Impromptu® Lectern,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9693075505465
innovations-suite,Innovations Suite,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9103181742393
innovations-u-shape-suite,Innovations U-Shape Suite,Other,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/9839234384185
installation-1,Installation,Other,Service,Office Central & Brant Business Interiors,0,0.0,N,N,N,never-sold,clearance,never sold — move to Clearance at 10% off,,https://admin.shopify.com/store/office-central/products/10179884155193
