handle,product_id,title,status,current_vendor,proposed_vendor,confidence,matched_pattern,will_change,is_hero_100
ibex-upholstered-seat-back-guest-chair-mvl2819-1,gid://shopify/Product/9782586507577,Ibex | upholstered seat & back guest chair — MVL2819,ACTIVE,Business Interiors,Global Furniture Group,medium,\bIbex\b,yes,no
ibex-upholstered-seat-back-guest-chair-mvl2832,gid://shopify/Product/10002329272633,Ibex | upholstered seat & back guest chair — MVL2832,ACTIVE,Business Interiors,Global Furniture Group,medium,\bIbex\b,yes,no
ibex-upholstered-seat-mesh-back-tilter-chair-mvl2801,gid://shopify/Product/9686790209849,Ibex upholstered seat & mesh back tilter chair — MVL2804,ACTIVE,Business Interiors,Global Furniture Group,medium,\bIbex\b,yes,no
newland-16w-box-box-file-mobile-pedestal,gid://shopify/Product/10197159477561,"Newland | 16""W Box/Box/File Mobile Pedestal",ACTIVE,Office Central & Brant Business Interiors,Offices to Go,medium,\bNewland\b,yes,no
newland-16w-box-box-file-mobile-pedestal-nlmp23bbf,gid://shopify/Product/9950669635897,"Newland | 16""w box/box/file mobile pedestal — NLMP23BBF",ACTIVE,Office Central & Brant Business Interiors,Offices to Go,medium,\bNewland\b,yes,no
newland-bookcases-assembled,gid://shopify/Product/9782648176953,Newland bookcases (assembled),ACTIVE,Business Interiors,Offices to Go,medium,\bNewland\b,yes,no
the-accord-tilter-high-back-chair-1,gid://shopify/Product/9771515150649,The accord tilter high back chair,ACTIVE,Business Interiors,Global Furniture Group,medium,\bAccord\b,yes,no
vion-mesh-medium-back-chair,gid://shopify/Product/9770565009721,VION Mesh Medium Back Chair,ARCHIVED,Business Interiors,Global Furniture Group,medium,\bVion\b,yes,no
zira-conference-table-9-sizes,gid://shopify/Product/9103414755641,Zira conference table — 9 sizes,ACTIVE,Business Interiors,Global Furniture Group,medium,\bZira\b,yes,no
zira-workstation-3-person,gid://shopify/Product/9688253759801,Zira workstation 3 person,ACTIVE,Business Interiors,Global Furniture Group,medium,\bZira\b,yes,no
1-1-2-drawer-high-lateral-cabinet-4,gid://shopify/Product/9039403024697,1 1/2 Drawer High Lateral Cabinet,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
2-drawer-legal-width-vertical-file,gid://shopify/Product/9727968149817,2 drawer legal width vertical file — 2 drawer,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
2-seater-couch,gid://shopify/Product/9667665985849,2 Seater Couch,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
3-seater-sofa,gid://shopify/Product/9667675881785,3 Seater Sofa,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
4-drawer-legal-width-vertical-file,gid://shopify/Product/9727970705721,4 drawer legal width vertical file — 4 drawer,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
6-drawer-end-tab-cabinet-s128-drawers,gid://shopify/Product/10111254855993,6 drawer end tab cabinet S128 drawers — 6 drawer,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
adapt-high-back-synchro-tilter-mvl11724,gid://shopify/Product/9769092022585,Adapt | high back synchro-tilter — MVL11724,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
adapt-high-back-synchro-tilter-mvl11724-mvl11725,gid://shopify/Product/9815337566521,Adapt | high back synchro-tilter MVL11724 — MVL11725,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
adapt-high-back-synchro-tilter-mvl11725,gid://shopify/Product/9771322507577,Adapt | high back synchro-tilter — MVL11725,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
additional-services-dismantle-re-assemble,gid://shopify/Product/9916922233145,Additional services-dismantle & re-assemble,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
agile-double-sided-8-pod-height-adjustable-shared-desk,gid://shopify/Product/9688170398009,Agile double sided 8-pod height adjustable shared desk,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
aktivity-rectangle-height-adjustable-table,gid://shopify/Product/9114228523321,Aktivity Rectangle Height Adjustable Table,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
altona-high-back-leather-tilter,gid://shopify/Product/9664282657081,Altona | high back leather tilter,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
amigo-mesh-chair-otg10900blk,gid://shopify/Product/9766192775481,Amigo mesh chair — OTG10900BLK,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
anda-seat-phantom-king-gaming-style-office-chair,gid://shopify/Product/9725776691513,Anda seat phantom king gaming style office chair,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
arm-caps-for-2330-chair,gid://shopify/Product/10023161004345,Arm caps for 2330 chair,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
arm-chair,gid://shopify/Product/9667590029625,Arm Chair,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
armless-low-back-stacking-chair-mvl2748,gid://shopify/Product/9982115381561,Armless low back stacking chair — MVL2748,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
ashmont-medium-back-management-tilter-mvl2781,gid://shopify/Product/9771597070649,Ashmont | medium back management tilter — MVL2781,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
atlas-sit-to-stand-height-adjustable-desk,gid://shopify/Product/9714121933113,Atlas sit to stand height adjustable desk,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
auditorium-lecture-hall-seating-omni,gid://shopify/Product/9699883254073,Auditorium / Lecture Hall Seating Omni,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
auditorium-lecture-hall-seating-primo,gid://shopify/Product/9699887710521,Auditorium / Lecture Hall Seating Primo,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
avro-350m-heavy-duty-multi-tilter-chairs-mvl11716,gid://shopify/Product/9776142713145,Avro 350M heavy duty multi-tilter chairs — MVL11716,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
banquet-chair-stacking,gid://shopify/Product/9676929270073,Banquet chair stacking,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
bar-height-table,gid://shopify/Product/9666375647545,Bar height table,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
bar-stool-for-42-high-tables,gid://shopify/Product/9778177835321,"Bar stool for 42"" high tables — 42""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
basics-chevron-junior-operator-chair-mvl2363-7-1,gid://shopify/Product/9776146415929,Basics chevron junior operator chair — MVL2363-7,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
basics-comfort-time-drafting-stool-with-or-without-arms-1,gid://shopify/Product/9776149299513,Basics comfort-time drafting stool (with or without arms),ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
basics-comfort-time-ultra-multi-tilter-big-tall-chair,gid://shopify/Product/9768077066553,Basics comfort-time ultra multi-tilter big & tall chair,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
basics-comfort-time-ultra-multi-tilter-big-tall-with-headrest,gid://shopify/Product/9768075526457,Basics comfort-time ultra multi-tilter big & tall with headrest,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
basics-comfort-time-ultra-multi-tilter-chair-with-headrest,gid://shopify/Product/9747447873849,Basics comfort-time ultra multi-tilter chair with headrest,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
basics-elora-chair-high-back-black-leather-luxhide-mvl1893upu30bl20,gid://shopify/Product/9753585910073,"Basics elora chair - high back - black - leather, luxhide — MVL1893UPU30BL20",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
basics-elora-home-office-synchro-tilter-chair-1,gid://shopify/Product/9770509140281,Basics elora home office synchro tilter chair,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
basics-preto-swivel-tilt-chair-1,gid://shopify/Product/9771509907769,Basics preto swivel tilt chair,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
beta-armless-posture-task-drafting-stool-mvl2718,gid://shopify/Product/9692248211769,Beta | armless posture task drafting stool — MVL2718,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
boat-shaped-conference-table-96-x-36-x-29,gid://shopify/Product/9103188459833,"Boat shaped conference table — 96"" x 36"" x 29""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
bolt-mesh-back-tilter-otg11510b,gid://shopify/Product/9708349915449,Bolt | mesh back tilter — OTG11510B,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
bookcase,gid://shopify/Product/9698682044729,Bookcase,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
bookcase-1-shelf-32-wide-x-72-high,gid://shopify/Product/9099312267577,"Bookcase - 1"" shelf 32"" wide x 72"" high — 72""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
bookcase-31-5-wide-x-13-75-deep,gid://shopify/Product/9698674803001,"Bookcase 32"" wide x 14"" deep — 14""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
bookcase-metal-2-size-options,gid://shopify/Product/9667812786489,Bookcase metal 2 size options — 2 size,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
bookcase-with-closed-lower-storage,gid://shopify/Product/9788108833081,Bookcase with closed lower storage,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
boulevard-system-3,gid://shopify/Product/9682812207417,Boulevard system 3,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
bow-front-desk-72x42,gid://shopify/Product/9688271159609,"Bow front desk — 72""X42""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
bungee-tables-rectangular-flip-top-table-spider-legs-wheels,gid://shopify/Product/9893580931385,"Bungee tables rectangular flip-top table, spider legs, wheels",ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
cabinet-file-file-right-wardrobe-inv-6524cffwr-24,gid://shopify/Product/9858778431801,Cabinet / file / file / right wardrobe — INV-6524CFFWR-24,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
canopy-seating,gid://shopify/Product/9699892035897,Canopy seating,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
carpeted-floor-48-x-36-6,gid://shopify/Product/9099976245561,"Carpeted floor — 48"" x 36""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
carpeted-floor-48-x-60,gid://shopify/Product/9100253757753,"Carpeted floor — 48"" x 60""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
carpeted-floor-48-x-60-1,gid://shopify/Product/9100254708025,"Carpeted floor — 48"" x 60""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
carpeted-floor-60x-46,gid://shopify/Product/9099975065913,"Carpeted floor — 60""x 46""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
ceiling-grids-sound-acoustic-dampeners-copy,gid://shopify/Product/9832616821049,Ceiling grids sound acoustic dampeners,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
ceiling-grids-sound-acoustic-dampeners-orb,gid://shopify/Product/9832623735097,Ceiling grids sound acoustic dampeners orb,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
chair-black-steel-frame-3,gid://shopify/Product/9103181316409,Chair - black steel frame,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
chair-dolly-duet-chairs,gid://shopify/Product/9103344206137,Chair dolly (duet chairs),ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
charging-station-with-a-clamp,gid://shopify/Product/9665682669881,Charging station with a clamp,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
chevron-ultra-medium-back-multi-tilter-chair,gid://shopify/Product/9770563141945,Chevron ultra medium back multi-tilter chair,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
circular-reception-unit-w-41-r,gid://shopify/Product/9843066274105,Circular reception unit — W-41-R,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
clamp-on-power-bar-and-usb-charging-station,gid://shopify/Product/9665676181817,Clamp-on power bar and USB charging station,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
cluster-seating,gid://shopify/Product/9924895768889,Cluster seating 4,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
cluster-seating-2,gid://shopify/Product/9924896358713,Cluster seating 2,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
coat-tree,gid://shopify/Product/10102505341241,Coat tree,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
coat-tree-hook-stand-1,gid://shopify/Product/9103184265529,Coat tree hook stand,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
cobalt-medium-back-tilter-mvl2785,gid://shopify/Product/9778281251129,Cobalt | medium back tilter — MVL2785,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
coffee-table,gid://shopify/Product/9673699295545,Coffee table,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
coffee-table-1,gid://shopify/Product/9862922142009,Coffee table,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
coffee-table-33-x-33-15-height-2,gid://shopify/Product/9114345603385,"Coffee table 33"" x 33"" 15"" height — 33"" x 33""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
coffee-table-chrome,gid://shopify/Product/9673690317113,Coffee table — Chrome,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
coffee-table-seating,gid://shopify/Product/9712078848313,Coffee table & seating,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
colour,gid://shopify/Product/10052613177657,Colour,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
comfort-time-ultra-petit-seat-multi-tilter-chair-high-back-baomvl1880g5,gid://shopify/Product/9747448791353,Comfort-time ultra petit seat multi-tilter chair high back — BAOMVL1880G5,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
contemporary-metal-desk,gid://shopify/Product/9911124263225,Contemporary metal desk,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
cord-cover,gid://shopify/Product/10029504528697,Cord cover snake,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
corner-maker-12,gid://shopify/Product/10102429090105,Corner maker — 12,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
corner-maker-2-sizes,gid://shopify/Product/10102691627321,Corner maker — 2 sizes,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
craft-cube-square-unit,gid://shopify/Product/9712096084281,Craft cube | square unit,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
craft-curve-120-degree-unit-2,gid://shopify/Product/9769344172345,Craft | curve-120 degree unit,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
craft-rectangle-unit-1,gid://shopify/Product/9769341550905,Craft | rectangle unit,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
craft-round-20-unit,gid://shopify/Product/9769342763321,"Craft | round 20"" unit — 20""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
craft-wedge-overtable-chrome-leg-1,gid://shopify/Product/9103347024185,Craft wedge overtable chrome leg,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
craft-wedge-unit,gid://shopify/Product/9769341485369,Craft | wedge unit,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
credenza-60x20,gid://shopify/Product/9693064692025,"Credenza — 60""x20""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
credenza-lflf-1,gid://shopify/Product/9763429646649,Credenza lflf,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
credenza-lfmsu,gid://shopify/Product/9763460579641,Credenza lfmsu,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
credenza-sliding-doors,gid://shopify/Product/9722789822777,Credenza sliding doors,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
credenza-storage-hutch,gid://shopify/Product/9751461036345,Credenza storage & hutch,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
credenza-storage-storage-with-locks,gid://shopify/Product/9859466658105,Credenza storage / storage with locks,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
credenza-with-sliding-doors-36-high,gid://shopify/Product/9788103917881,"Credenza with sliding doors 36"" high — 36""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
custom-reception-unit-accessories,gid://shopify/Product/10008720867641,Custom reception unit & accessories,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
danio-armless-height-adjustable-task-stool,gid://shopify/Product/9666387116345,Danio | armless height adjustable task stool,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
deep-hi-boy-storage-cabinet-72-h-x-36-w-x-24-d,gid://shopify/Product/9776398729529,"Deep hi-boy storage cabinet 72"" h x 36"" w x 24"" d — 24""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery,gid://shopify/Product/10179884024121,Delivery,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery-35,gid://shopify/Product/9831568867641,DELIVERY 35,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery-75,gid://shopify/Product/9834060742969,Delivery 75,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery-charge-125,gid://shopify/Product/9818040172857,Delivery Charge 125,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery-charge-175-00,gid://shopify/Product/9778565120313,Delivery charge 175. — 00,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery-charge-65,gid://shopify/Product/9822444749113,Delivery Charge $65,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery-charge-85-00,gid://shopify/Product/9746670092601,Delivery charge $85. — 00,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery-charge-tailgate,gid://shopify/Product/9944186683705,Delivery Charge (Tailgate),ARCHIVED,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery-installation,gid://shopify/Product/9952132563257,Delivery & Installation,ARCHIVED,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery-installation-250,gid://shopify/Product/9819013022009,Delivery & Installation,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
delivery-installation-charge-250-00,gid://shopify/Product/9819011055929,Delivery & installation Charge 250.00,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
deluxe-high-back-executive-chair,gid://shopify/Product/9725751918905,DELUXE HIGH BACK EXECUTIVE CHAIR,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
deluxe-mid-back-executive-chair,gid://shopify/Product/9725752279353,DELUXE MID BACK EXECUTIVE CHAIR,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
demeter-mid-back-ergonomic-chair-buyers-choice-award,gid://shopify/Product/10158668710201,"Demeter mid back ergonomic chair ""buyers choice award""",ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-2-drawer-48-x-24-x-29-1,gid://shopify/Product/9098360783161,"Desk - 2-drawer — 48"" x 24"" x 29""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-double-pedestal,gid://shopify/Product/9455162884409,Desk double pedestal,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-l-shape-with-drawers,gid://shopify/Product/9455233368377,Desk l-shape with drawers,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-lamp-5-30-w-led-bulb-adjustable-metal-acrylic-desk-mountable,gid://shopify/Product/9723829223737,"Desk lamp - 5.30 w LED bulb - adjustable - metal, acrylic - desk mountable",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-power-grommet,gid://shopify/Product/9723863007545,Desk power grommet,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-shell-5-sizes,gid://shopify/Product/9757722313017,Desk shell (5 sizes) — 5 sizes,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-shells,gid://shopify/Product/9884899213625,Desk shells,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-single-pedestal,gid://shopify/Product/9455188476217,Desk single pedestal,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-top-divider-divide,gid://shopify/Product/9693141827897,Desk top divider divide,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-top-dividers,gid://shopify/Product/9693140713785,Desk top dividers,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-top-dividers-1,gid://shopify/Product/9942359015737,Desk top dividers,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
desk-u-shape-mlp205-1,gid://shopify/Product/9039376023865,Desk u-shape,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
desktop-riser-black-2,gid://shopify/Product/9103475704121,Desktop riser — Black,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
diet,gid://shopify/Product/9682813813049,Diet,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
display-shelving,gid://shopify/Product/9852995436857,Display shelving,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
dispose,gid://shopify/Product/9905594925369,Disposal program,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
dolly-7,gid://shopify/Product/9103185183033,Dolly,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
dolly-for-sonic-chairs-6517ws,gid://shopify/Product/9822363451705,Dolly for sonic chairs — 6517WS,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
door-32-x-32-1,gid://shopify/Product/9098388799801,"Door — 32"" x 32""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
drafting-table,gid://shopify/Product/9693071737145,Drafting table,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
drafting-table-custom,gid://shopify/Product/9693076390201,Drafting table custom,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
drafting-table-precision-table-2-sizes,gid://shopify/Product/9693073867065,Drafting table precision table — 2 sizes,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
drift-seating,gid://shopify/Product/9701172412729,Drift seating,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
dual-coloured-bookcase-15-sizes-available,gid://shopify/Product/9729952809273,Dual coloured bookcase (15 sizes available) — 15 sizes,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
dual-monitor-arm,gid://shopify/Product/9666433220921,Dual monitor arm,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
dual-sided-height-adjustable-table,gid://shopify/Product/9665415807289,Dual sided height adjustable table,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
duet-tablet-chair,gid://shopify/Product/9688164958521,Duet Tablet Chair,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,no
easy-pull-in-out-keyboard-tray,gid://shopify/Product/9666436006201,Easy pull in & out keyboard tray,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
echo-3670-3-task-chair,gid://shopify/Product/9666752053561,Echo 3670-3 task chair,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
echo-medium-back-multi-tilter-3671-3-1,gid://shopify/Product/9666752708921,Echo medium back multi-tilter (3671-3) — 3671-3,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
educational-student-tables-5-shapes-sizes,gid://shopify/Product/10159634022713,Educational Student Tables (5 Shapes & Sizes),ARCHIVED,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
electric-desk-riser-dual-monitor-arm,gid://shopify/Product/10128802709817,Electric desk riser + dual monitor arm,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
electric-dual-monitor-height-adjustable-standing-desk-workstation-dc450,gid://shopify/Product/9103473934649,Electric dual monitor height adjustable standing desk workstation — DC450,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
electric-height-adjustable-standing-desk-workstation-4,gid://shopify/Product/9103471608121,Electric height adjustable standing desk workstation,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
electronic-lock-business-safes,gid://shopify/Product/9103169388857,Electronic lock business safes,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
elora-multi-tilter-high-back-chair-black-baomvl1893,gid://shopify/Product/9666755526969,Elora multi-tilter high back chair black — BAOMVL1893,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
elora-multi-tilter-high-back-chair-black-petite-seat-baomvl1894,gid://shopify/Product/9815803887929,Elora multi-tilter high back chair black petite seat — BAOMVL1894,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
end-table-29-x-29-x-16,gid://shopify/Product/9114394001721,"End table — 29"" x 29"" x 16""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
end-table-chrome,gid://shopify/Product/9673683566905,End table — Chrome,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
end-table-glass-top,gid://shopify/Product/9673700376889,End table glass top,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
eor-guest-chair-mvl3920b,gid://shopify/Product/9982113481017,Eor guest chair — MVL3920B,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
evolve-workstations,gid://shopify/Product/10170849231161,Evolve workstations,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
executive-suites-height-adjustable-desk,gid://shopify/Product/9726800527673,Executive suites height adjustable desk,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
executive-workstation-10x10,gid://shopify/Product/9897192554809,Executive workstation — 10'x10',ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
extended-high-back-tilter-otg11359-carleton,gid://shopify/Product/9766190809401,Extended high back tilter OTG11359 carleton,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
extended-high-back-wide-deep-seat-multi-tilt-bao27513,gid://shopify/Product/9816405115193,Extended high back wide & deep seat multi tilt — BAO27513,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
factor-mesh-back-armchair-casters-5545amc-1,gid://shopify/Product/9720592138553,"Factor mesh back armchair, casters (5545amc) — 5545AMC",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
factor-mesh-seating,gid://shopify/Product/9721985237305,Factor mesh seating,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
factor-mesh-seating-stool,gid://shopify/Product/9721986154809,Factor mesh seating stool,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
fame-high-back-weight-sensing-synchro-tilter,gid://shopify/Product/10197008449849,Fame | High Back Weight Sensing Synchro-Tilter,ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
fax-printer-machine-stand,gid://shopify/Product/9968013639993,"Fax, printer, machine stand",ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,no
fellowes-array-ceiling-ac2-air-purifier,gid://shopify/Product/9712548118841,Fellowes array ceiling AC2 air purifier,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,no
