rank,product_id,handle,title,vendor,price_max,confidence,score,tier,recommended_subs,detected_line,detected_model,reason
133,9783856824633,quick-assembly-electric-height-adjustable-base-2-legs,Quick assembly electric height adjustable base - 2 legs,Brant Business Interiors,699.99,med,5,B-WORTH-IT,height-adjustable-tables | desk-top-dividers | side-coffee-table,,,+5 price>=500
134,9851761426745,racetrack-conference-table-1-top,"Racetrack conference table 1"" top — 1""",Brant Business Interiors,1699.99,med,5,B-WORTH-IT,tables | meeting-tables | training-flip-top-tables,,,+5 price>=500
135,9769354592569,rambler-ottoman-8-shape-size-options,Rambler ottoman (8 shape & size),Brant Business Interiors,799.99,med,5,B-WORTH-IT,ottomans | all-quiet-spaces | healthcare-seating,,,+5 price>=500
136,9785891127609,ranger-table,Ranger table,Brant Business Interiors,4451.00,med,5,B-WORTH-IT,tables | drafting-tables | all-tables,,,+5 price>=500
137,9710313079097,safco-2130sl-desk-mount-for-monitor-keyboard,"Safco 2130SL desk mount for monitor, keyboard",Safco,319.30,med,5,B-WORTH-IT,desks | ergonomic-products | all-ergonomic,,2130SL,+3 price>=200; +2 model:2130SL
138,9688173543737,screenflex-5-panel-mobile-light-duty-portable-room-divider-65h-x-95w-fabric-color-stone,"Screenflex 5 panel mobile light-duty portable room divider, 6'5""h x 9'5""w, fabric color: stone — 5""",Brant Business Interiors,1699.99,med,5,B-WORTH-IT,acoustic-panels | privacy-screens | panels-room-dividers,,,+5 price>=500
139,9757974364473,screenflex-room-dividers,Screenflex room dividers,Brant Business Interiors,4555.00,med,5,B-WORTH-IT,acoustic-panels | desk-top-dividers | privacy-screens,,,+5 price>=500
140,9688143266105,sit2stand-series-sit-stand-workstation,Sit2stand series sit-stand workstation,Brant Business Interiors,699.99,med,5,B-WORTH-IT,desk-top-sit-stand | desktop-sit-stand | sit-stand-workstations,,,+5 price>=500
141,10024625176889,solo-gues-chair,Solo guest chair — 5225SSU,Brant Business Interiors,218.02,med,5,B-WORTH-IT,chairs | reception-side-guest-chairs | type-chairs,,5225SSU,+3 price>=200; +2 model:5225SSU
142,9782444425529,standard-lateral-files-2-3-4-5-drawers,"Standard lateral files (2,3,4 & 5 drawers) — 5 drawers",Brant Business Interiors,1229.99,med,5,B-WORTH-IT,lateral-file-cabinets-storage | metal-vertical-files | all-storage,,,+5 price>=500
143,9103350169913,standing-desk-for-corner-desk-5,Standing desk for corner desk,Brant Business Interiors,959.99,med,5,B-WORTH-IT,desks | monitor-arms | all-quiet-spaces,,,+5 price>=500
144,9722809811257,storage-right-ff-sc-left-wardrobe,Storage / right ff & sc / left wardrobe,Brant Business Interiors,1622.00,med,5,B-WORTH-IT,storage | wardrobe-storage | all-storage,,,+5 price>=500
145,9795527344441,supra-x-chair-1,Supra x chair,Brant Business Interiors,559.99,med,5,B-WORTH-IT,chairs | ergonomic-products | all-ergonomic,,,+5 price>=500
146,9455249195321,table-desk-13-colour-options,Table desk 13 colour options — 13 colour,Brant Business Interiors,699.99,med,5,B-WORTH-IT,tables | desks | room-open-plan,,,+5 price>=500
147,10086725615929,table-desk-height-adjustable,Table desk height adjustable,Brant Business Interiors,2122.00,med,5,B-WORTH-IT,tables | desks | height-adjustable-tables,,,+5 price>=500
148,9683059179833,table-round-height-adjustable,Table round height adjustable,Brant Business Interiors,589.99,med,5,B-WORTH-IT,tables | height-adjustable-tables | fire-resistant-file-cabinets,,,+5 price>=500
149,9113935479097,tables-dolly-8,Tables dolly,Brant Business Interiors,536.55,med,5,B-WORTH-IT,tables | mobile-storage | gfg-storage,,,+5 price>=500
150,9724674277689,taper-leg-table,Taper leg table,Brant Business Interiors,529.99,med,5,B-WORTH-IT,tables | training-flip-top-tables | all-tables,,,+5 price>=500
151,9748326187321,teknion-ac-executive,"Teknion ""ac executive""",Teknion,0.00,med,5,B-WORTH-IT,meeting-tables | credenzas | storage,,,+5 premium-brand vendor
152,9748332216633,teknion-boardroom,"Teknion ""boardroom""",Teknion,0.00,med,5,B-WORTH-IT,boardroom | meeting-tables | all-boardroom,,,+5 premium-brand vendor
153,9748330873145,teknion-lounge,"Teknion ""lounge""",Teknion,0.00,med,5,B-WORTH-IT,lounge | global-teknion | room-lounge,,,+5 premium-brand vendor
154,9667845456185,teknion-glass-walls,Teknion Glass walls,Teknion,0.00,med,5,B-WORTH-IT,walls | acoustic-panels | task-chairs,,,+5 premium-brand vendor
155,9748339360057,teknion-seating,Teknion Seating,Teknion,0.00,med,5,B-WORTH-IT,seating | global-teknion | medium-back-seating,,,+5 premium-brand vendor
156,9682842616121,teknion-zones,Teknion Zones,Teknion,0.00,med,5,B-WORTH-IT,privacy-screens | desk-top-dividers | global-teknion,,,+5 premium-brand vendor
157,9769268871481,trapezoid-tables-3-sizes,Trapezoid tables (3 sizes) — 3 sizes,Brant Business Interiors,849.99,med,5,B-WORTH-IT,tables | height-adjustable-tables | all-tables,,,+5 price>=500
158,9785822609721,triple-monitor-and-ipad-holder,Triple monitor and ipad holder,Brant Business Interiors,588.69,med,5,B-WORTH-IT,monitor-arms | room-private-office | end-tables-tables,,,+5 price>=500
159,9744712171833,two-stage-electric-height-adjustable-table,Two-stage electric height adjustable table,Brant Business Interiors,549.99,med,5,B-WORTH-IT,height-adjustable-tables | room-private-office | desk-top-dividers,,,+5 price>=500
160,9720842944825,u-shape-d-top-workstation,U-shape d-top workstation,Brant Business Interiors,2499.99,med,5,B-WORTH-IT,u-shape-desks | desks | all-desks,,,+5 price>=500
161,9674747117881,upscale-meeting-boardroom-tables-3-sizes-8-colours,"Upscale meeting / boardroom tables 3 sizes, 8 colours — 3 sizes",Brant Business Interiors,3038.00,med,5,B-WORTH-IT,boardroom | meeting-tables | round-square-tables,,,+5 price>=500
162,10212197105977,upscale-meeting-boardroom-tables-3-sizes-8-colours-3-sizes-copy,"Upscale meeting / boardroom tables 3 sizes, 8 colours — 3 sizes (Copy)",Brant Business Interiors,3038.00,med,5,B-WORTH-IT,boardroom | meeting-tables | all-boardroom,,,+5 price>=500
163,10182901629241,vitrola-lounge-seating-4-size-options,Vitrola lounge seating (4 size options) — 4 size,Brant Business Interiors,2109.00,med,5,B-WORTH-IT,lounge | seating | type-lounge,,,+5 price>=500
164,9676171379001,wind-lounge-seating,Wind lounge seating,Brant Business Interiors,1859.99,med,5,B-WORTH-IT,lounge | seating | type-lounge,,,+5 price>=500
165,9103363014969,workstation-96-x-50-x-29-4-person-station,"Workstation - 96"" x 50"" x 29"" (4 person station) — 96"" x 50"" x 29""",Brant Business Interiors,2099.99,med,5,B-WORTH-IT,acoustic-panels | gfg-desks | multi-person-workstations-desks,,,+5 price>=500
166,9724679127353,workway-planters,Workway planters,Brant Business Interiors,819.00,med,5,B-WORTH-IT,planters,,,+5 price>=500
167,9726645797177,u-shaped-suite-with-table-desk-72w-x-96d,"""u"" shaped suite with table desk - 72""w x 96""d — 96""",Brant Business Interiors,1857.60,low,5,B-WORTH-IT,room-open-plan | all-quiet-spaces | boardroom-conference-meeting,,,+5 price>=500
168,9893580931385,bungee-tables-rectangular-flip-top-table-spider-legs-wheels,"Bungee tables rectangular flip-top table, spider legs, wheels",Brant Business Interiors,1036.00,low,5,B-WORTH-IT,tables | type-accessories | accessories,,,+5 price>=500
169,9769344172345,craft-curve-120-degree-unit-2,Craft | curve-120 degree unit,Brant Business Interiors,399.99,low,5,B-WORTH-IT,type-lounge | otg-lounge | cafe-lounge-seating,,120,+3 price>=200; +2 model:120
170,9103475704121,desktop-riser-black-2,Desktop riser — Black,Brant Business Interiors,692.82,low,5,B-WORTH-IT,gfg-desks | all-desks | desks,,,+5 price>=500
171,9103185183033,dolly-7,Dolly,Brant Business Interiors,545.25,low,5,B-WORTH-IT,folding-stacking-chairs-carts | type-chairs | global-teknion,,,+5 price>=500
172,9103331131705,gardex-security-safe-fire-resistant-24-x-18-5-x-18-5,"Gardex security safe - fire resistant — 24"" x 18.5"" x 18.5""",Brant Business Interiors,1987.00,low,5,B-WORTH-IT,fire-resistant-file-cabinets-safes | height-adjustable-tables,,,+5 price>=500
173,9103330115897,gardex-security-safe-fire-resistant-size-29-x-21-5-x-21-5-beige,"Gardex security safe- fire resistant -size 29"" x 21.5"" x 21.5"" - beige — 29"" x 21.5"" x 21.5""",Brant Business Interiors,2189.00,low,5,B-WORTH-IT,fire-resistant-safes-storage | all-storage | gfg-storage,,,+5 price>=500
174,9820816179513,halifax-executive-suite,Halifax executive suite,Brant Business Interiors,6399.99,low,5,B-WORTH-IT,bar-height-tables | all-tables | gfg-tables,,,+5 price>=500
175,9822314070329,halifax-series,Halifax series,Brant Business Interiors,6999.99,low,5,B-WORTH-IT,bar-height-tables | all-tables | gfg-tables,,,+5 price>=500
176,9864578040121,indigenous-medicine-wheel-huddl,Indigenous medicine wheel huddl,Brant Business Interiors,6899.00,low,5,B-WORTH-IT,type-accessories | accessories | all-accessories,,,+5 price>=500
177,9746802016569,installation1000,Installation1000,Brant Business Interiors,1000.00,low,5,B-WORTH-IT,office-furniture | all-business-furniture | business-furniture,,,+5 price>=500
178,9469546103097,management-l-shaped-suite-66w-x-72d,"Management ""l"" shaped suite - 66""w x 72""d — 72""",Brant Business Interiors,1649.99,low,5,B-WORTH-IT,room-open-plan | acoustic-solutions | all-quiet-spaces,,,+5 price>=500
179,9936909893945,mobile-machine-stand-with-shelf-on-wheels,Mobile machine stand with shelf on wheels,Brant Business Interiors,899.99,low,5,B-WORTH-IT,type-accessories | accessories | all-accessories,,,+5 price>=500
180,9778549653817,momentum-series-combos-keyboard-arm-premium-quality,Momentum series combos keyboard arm (premium quality),Brant Business Interiors,563.99,low,5,B-WORTH-IT,keyboard-trays | desk-top-dividers,,,+5 price>=500
181,9729492975929,rebound-armchair-upholstered-seat-r5apug,"Rebound armchair, upholstered seat (r5apug) — R5APUG",Brant Business Interiors,389.99,low,5,B-WORTH-IT,stools-drafting-chairs | type-chairs | task-chairs,,R5APUG,+3 price>=200; +2 model:R5APUG
182,9103328969017,security-safe-fire-resistant-50-5-x-26-5-1,"Security safe fire resistant — 50.5"" x 26.5""",Brant Business Interiors,3077.00,low,5,B-WORTH-IT,fire-resistant-safes-storage | all-storage | gfg-storage,,,+5 price>=500
183,9685618884921,sidero-1,Sidero,Brant Business Interiors,939.99,low,5,B-WORTH-IT,folding-stacking-chairs-carts | type-chairs | task-chairs,,,+5 price>=500
184,9693091201337,stream-armchair-polypropylene-seat-back-2075app-1,"Stream armchair, polypropylene seat & back (2075app) — 2075APP",Brant Business Interiors,298.99,low,5,B-WORTH-IT,medium-back-seating | stools-seating | all-seating,,2075app,+3 price>=200; +2 model:2075app
185,9748322746681,teknion-byward,"Teknion ""byward""",Teknion,0.00,low,5,B-WORTH-IT,global-teknion | all-ergonomic | ergonomic-products,,,+5 premium-brand vendor
186,9748319306041,teknion-chronicle,Teknion Chronicle,Teknion,0.00,low,5,B-WORTH-IT,global-teknion,,,+5 premium-brand vendor
187,9748321435961,teknion-expansion,Teknion Expansion,Teknion,0.00,low,5,B-WORTH-IT,global-teknion | office-furniture | all-business-furniture,,,+5 premium-brand vendor
188,9702146867513,untethered-go-further-go-anywhere-by-teknion,"Teknion Untethered: go further, go anywhere by:",Teknion,0.00,low,5,B-WORTH-IT,global-teknion | room-private-office | mobile-pedestals,,,+5 premium-brand vendor
189,9729485898041,the-twilight-armchair-wood-veneer-back-2198ws,"The twilight armchair, wood veneer back (2198ws) — 2198WS",Brant Business Interiors,329.99,low,5,B-WORTH-IT,guest-seating | medium-back-seating | all-seating,,2198ws,+3 price>=200; +2 model:2198ws
190,9779950256441,vertical-fireproof-cabinets-2-3-4-drawer,"Vertical fireproof cabinets (2, 3 & 4 drawer) — 4 drawer",Brant Business Interiors,3599.99,low,5,B-WORTH-IT,vertical-file-cabinets-storage | fire-resistant-file-cabinets | lateral-file-cabinets-storage,,,+5 price>=500
191,9763504587065,wardrobe,Wardrobe,Brant Business Interiors,699.99,low,5,B-WORTH-IT,wardrobe-storage | all-storage | gfg-storage,,,+5 price>=500
192,9665685782841,vesta-power-tower,Vesta power tower,Brant Business Interiors,1679.99,none,5,B-WORTH-IT,power-modules-accessories,vesta,,+5 price>=500; +2 line:vesta; -3 thin context; +1 routing unknown
193,9665682669881,charging-station-with-a-clamp,Charging station with a clamp,Brant Business Interiors,269.99,none,4,C-MAYBE,power-modules-accessories,,,+3 price>=200; +1 routing unknown
194,10102691627321,corner-maker-2-sizes,Corner maker — 2 sizes,Brant Business Interiors,389.99,none,4,C-MAYBE,keyboard-trays | monitor-arms,,,+3 price>=200; +1 routing unknown
195,10102435873081,i-pad-holders,Ipad holders,Brant Business Interiors,249.99,none,4,C-MAYBE,air-quality-management | chair-mats | desk-top-sit-stand,,,+3 price>=200; +1 routing unknown
196,9666434138425,keyboard-tray-multi-adjustable,Keyboard tray multi adjustable,Brant Business Interiors,419.99,none,4,C-MAYBE,height-adjustable-tables | keyboard-trays,,,+3 price>=200; +1 routing unknown
197,9666433876281,keyboard-tray-multi-position,Keyboard tray multi position,Brant Business Interiors,399.99,none,4,C-MAYBE,keyboard-trays,,,+3 price>=200; +1 routing unknown
198,9693093790009,rebound-armchair-polypropylene-seat-1,"Rebound armchair, polypropylene seat",Brant Business Interiors,359.99,none,4,C-MAYBE,chair-mats | medium-back-seating | folding-chair-chair,,,+3 price>=200; +1 routing unknown
199,9700992221497,tower-charging-station-with-usb-ports-2-colour-options,Tower charging station with USB ports. 2 colour options. — 2 colour,Brant Business Interiors,450.00,none,4,C-MAYBE,bar-height-tables | metal-vertical-files | power-modules-accessories,,,+3 price>=200; +1 routing unknown
200,9943309746489,new-pneumatic-single-arm-monitor-stand,"""new"" pneumatic single-arm monitor stand",Brant Business Interiors,369.99,high,3,C-MAYBE,monitor-arms | desk-top-sit-stand | desktop-sit-stand,,,+3 price>=200
201,9698674803001,bookcase-31-5-wide-x-13-75-deep,"Bookcase 32"" wide x 14"" deep — 14""",Brant Business Interiors,349.99,high,3,C-MAYBE,bookcases,,,+3 price>=200
202,9729952809273,dual-coloured-bookcase-15-sizes-available,Dual coloured bookcase (15 sizes available) — 15 sizes,Brant Business Interiors,499.00,high,3,C-MAYBE,bookcases | all-panels | otg-panels,,,+3 price>=200
203,10197008449849,fame-high-back-weight-sensing-synchro-tilter,Fame | High Back Weight Sensing Synchro-Tilter,Brant Business Interiors,429.99,high,3,C-MAYBE,task-chairs | ergonomic-products | all-ergonomic,,,+3 price>=200
204,9963313004857,levels-bookcase,Levels bookcase,Brant Business Interiors,449.99,high,3,C-MAYBE,bookcases | office-furniture | all-business-furniture,,,+3 price>=200
205,9666759852345,lumi-high-back-synchro-tilter-chair,Lumi | high back synchro-tilter chair,Brant Business Interiors,369.99,high,3,C-MAYBE,ergonomic-products | task-chairs | all-ergonomic,,,+3 price>=200
206,9776144908601,marlee-synchro-tilter-chairs,Marlee synchro-tilter chairs,Brant Business Interiors,399.99,high,3,C-MAYBE,task-chairs | ergonomic-products | type-chairs,,,+3 price>=200
207,9834039345465,mobile-pedestal-file-file,Mobile pedestal file / file,Brant Business Interiors,458.99,high,3,C-MAYBE,pedestals | storage | fire-resistant-file-cabinets,,,+3 price>=200
208,9710311440697,sit-stand-1,Sit stand,Brant Business Interiors,449.99,high,3,C-MAYBE,desk-top-sit-stand | height-adjustable-tables | desktop-sit-stand,,,+3 price>=200
209,9039323201849,zim-synchro-tilter-chair-high-back-mesh-mesh-back-black,Zim synchro-tilter chair high back mesh mesh back,Brant Business Interiors,399.99,high,3,C-MAYBE,task-chairs | ergonomic-products | chairs,,,+3 price>=200
210,9665676181817,clamp-on-power-bar-and-usb-charging-station,Clamp-on power bar and USB charging station,Brant Business Interiors,229.99,med,3,C-MAYBE,ergonomic-products | all-ergonomic | room-private-office,,,+3 price>=200
211,9712078848313,coffee-table-seating,Coffee table & seating,Brant Business Interiors,288.00,med,3,C-MAYBE,tables | side-coffee-table | type-lounge,,,+3 price>=200
212,9673690317113,coffee-table-chrome,Coffee table — Chrome,Brant Business Interiors,329.99,med,3,C-MAYBE,tables | side-coffee-table | coffee-tables,,,+3 price>=200
213,9747448791353,comfort-time-ultra-petit-seat-multi-tilter-chair-high-back-baomvl1880g5,Comfort-time ultra petit seat multi-tilter chair high back — BAOMVL1880G5,Brant Business Interiors,419.99,med,3,C-MAYBE,task-chairs | ergonomic-products | chair-mats,,,+3 price>=200
214,9666387116345,danio-armless-height-adjustable-task-stool,Danio | armless height adjustable task stool,Brant Business Interiors,259.99,med,3,C-MAYBE,height-adjustable-tables | fire-resistant-file-cabinets,,,+3 price>=200
215,9098360783161,desk-2-drawer-48-x-24-x-29-1,"Desk - 2-drawer — 48"" x 24"" x 29""",Brant Business Interiors,429.99,med,3,C-MAYBE,desks | pedestal-drawers-storage | storage,,,+3 price>=200
216,9723829223737,desk-lamp-5-30-w-led-bulb-adjustable-metal-acrylic-desk-mountable,"Desk lamp - 5.30 w LED bulb - adjustable - metal, acrylic - desk mountable",Brant Business Interiors,259.98,med,3,C-MAYBE,desks | height-adjustable-tables | lighting,,,+3 price>=200
217,9942359015737,desk-top-dividers-1,Desk top dividers,Brant Business Interiors,399.99,med,3,C-MAYBE,desks | all-panels | otg-panels,,,+3 price>=200
218,9666433220921,dual-monitor-arm,Dual monitor arm,Brant Business Interiors,299.99,med,3,C-MAYBE,monitor-arms | desk-top-dividers | privacy-screens,,,+3 price>=200
219,9673700376889,end-table-glass-top,End table glass top,Brant Business Interiors,325.00,med,3,C-MAYBE,tables | desk-top-dividers | end-tables-tables,,,+3 price>=200
220,9673683566905,end-table-chrome,End table — Chrome,Brant Business Interiors,289.99,med,3,C-MAYBE,tables | end-tables-tables | fire-resistant-file-cabinets,,,+3 price>=200
221,9721985237305,factor-mesh-seating,Factor mesh seating,Brant Business Interiors,475.00,med,3,C-MAYBE,seating | medium-back-seating | mesh-seating,,,+3 price>=200
222,9103358984505,flip-top-table-48-x-24,"Flip-top table — 48"" x 24""",Brant Business Interiors,459.99,med,3,C-MAYBE,tables | training-flip-top-tables | gfg-storage,,,+3 price>=200
223,9103180136761,folding-table-60-4,Folding chair,Brant Business Interiors,399.99,med,3,C-MAYBE,chairs | folding-stacking-chairs-carts | medium-back-seating,,,+3 price>=200
224,9103179972921,folding-table-8,Folding table,Brant Business Interiors,285.89,med,3,C-MAYBE,tables | all-storage | gfg-storage,,,+3 price>=200
225,9103178924345,folding-table-60-x-30-1,"Folding table — 60"" x 30""",Brant Business Interiors,246.90,med,3,C-MAYBE,tables | all-storage | gfg-storage,,,+3 price>=200
226,9725748478265,gaming-chair,Gaming chair,Brant Business Interiors,499.99,med,3,C-MAYBE,gaming | chairs | medium-back-seating,,,+3 price>=200
227,9664277971257,high-back-tilter-with-arms,High back tilter with arms,Brant Business Interiors,399.99,med,3,C-MAYBE,task-chairs | ergonomic-products | medium-back-seating,,,+3 price>=200
228,9666435449145,jax-keyboard-tray,Jax keyboard tray,Brant Business Interiors,495.00,med,3,C-MAYBE,desk-top-sit-stand | desktop-sit-stand | sit-stand-workstations,,,+3 price>=200
229,9841866506553,jax-sit-to-stand,Jax sit to stand,Brant Business Interiors,449.99,med,3,C-MAYBE,desk-top-sit-stand | ergonomic-products | all-ergonomic,,,+3 price>=200
230,9800598552889,laminate-modesty-panels,Laminate modesty panels,Brant Business Interiors,239.00,med,3,C-MAYBE,acoustic-panels | all-panels | otg-panels,,,+3 price>=200
231,9689001951545,oci-platinum-monitor-arms,Oci platinum monitor arms,Brant Business Interiors,425.00,med,3,C-MAYBE,monitor-arms | privacy-screens | desk-top-dividers,,,+3 price>=200
232,10196145045817,part-time-task-chair-with-height-adjustable-arms-mvl,Part-Time | Task Chair with Height Adjustable Arms MVL,Brant Business Interiors,279.99,med,3,C-MAYBE,task-chairs | ergonomic-products | all-ergonomic,,,+3 price>=200
233,9800589377849,plexiglass-modesty-panels,Plexiglass modesty panels,Brant Business Interiors,239.99,med,3,C-MAYBE,acoustic-panels | all-panels | otg-panels,,,+3 price>=200
234,9698778710329,power-station-with-3-outlets-and-2-usb,Power station with 3 outlets and 2 USB,Brant Business Interiors,425.00,med,3,C-MAYBE,meeting-tables | all-desks | desks,,,+3 price>=200
235,9103337423161,round-table-x-base-5,Round table - x-base,Brant Business Interiors,399.99,med,3,C-MAYBE,tables | bases | round-square-tables,,,+3 price>=200
236,10128782164281,round-table-29-high-8-colours,"Round table 29"" high (8 colours) — 8 colours",Brant Business Interiors,499.99,med,3,C-MAYBE,tables | round-square-tables | desk-top-dividers,,,+3 price>=200
237,9680085844281,round-table-29-high,"Round table 29"" high — 29""",Brant Business Interiors,389.00,med,3,C-MAYBE,tables | desk-top-dividers | metal-vertical-files,,,+3 price>=200
238,9673698214201,round-table-glass-top-1,Round table glass top,Brant Business Interiors,325.00,med,3,C-MAYBE,tables | desk-top-dividers | metal-vertical-files,,,+3 price>=200
239,9666758738233,six-13-medium-back-multi-tilter,Six 13 | medium back multi-tilter,Brant Business Interiors,339.99,med,3,C-MAYBE,task-chairs | ergonomic-products | medium-back-seating,,,+3 price>=200
240,9688274895161,soho-desk-single-pedestal-2-sizes,Soho desk single pedestal — 2 sizes,Brant Business Interiors,499.99,med,3,C-MAYBE,desks | pedestal-drawers-storage | storage,,,+3 price>=200
241,9778210931001,sonic-bar-stools-for-42-high-tables,"Sonic bar stools for 42"" high tables — 42""",Brant Business Interiors,323.00,med,3,C-MAYBE,stools | bar-height-tables | meeting-conference-room-tables,,,+3 price>=200
242,9667787161913,stacking-chair-sas-10-plus-colours,Stacking chair sas (10 plus colours),Brant Business Interiors,259.99,med,3,C-MAYBE,chairs | folding-stacking-chairs-carts | reception-side-guest-chairs,,,+3 price>=200
243,9114131923257,table-18x28,"Table — 18""x28""",Brant Business Interiors,354.59,med,3,C-MAYBE,tables | gfg-desks | office-suites-desks,,,+3 price>=200
244,9113895928121,table-29-x-28-3,"Table — 29"" x 28""",Brant Business Interiors,350.19,med,3,C-MAYBE,tables | cafeteria-breakroom-tables | gfg-tables,,,+3 price>=200
245,9666433515833,triple-monitor-arm,Triple monitor arm,Brant Business Interiors,329.99,med,3,C-MAYBE,monitor-arms | desk-top-dividers | privacy-screens,,,+3 price>=200
246,9683134611769,ultima-adjustable-stool,Ultima adjustable stool,Brant Business Interiors,388.99,med,3,C-MAYBE,stools | all-quiet-spaces | height-adjustable-tables,,,+3 price>=200
247,10192184049977,ultra-guest-chair,Ultra guest chair,Brant Business Interiors,399.99,med,3,C-MAYBE,chairs | medium-back-seating | guest-seating,,,+3 price>=200
248,9725750247737,xplorer-51-gaming-chair,Xplorer 51 gaming chair,Brant Business Interiors,369.99,med,3,C-MAYBE,gaming | chairs | medium-back-seating,,,+3 price>=200
249,9776145465657,yoho-task-chairs,Yoho task chairs,Brant Business Interiors,289.99,med,3,C-MAYBE,chairs | task-chairs | type-chairs,,,+3 price>=200
250,9099975065913,carpeted-floor-60x-46,"Carpeted floor — 60""x 46""",Brant Business Interiors,219.99,low,3,C-MAYBE,chair-mats | room-private-office | big-heavy-seating,,,+3 price>=200
251,9712096084281,craft-cube-square-unit,Craft cube | square unit,Brant Business Interiors,229.99,low,3,C-MAYBE,type-lounge | otg-lounge | cafe-lounge-seating,,,+3 price>=200
252,9103347024185,craft-wedge-overtable-chrome-leg-1,Craft wedge overtable chrome leg,Brant Business Interiors,288.00,low,3,C-MAYBE,cafeteria-breakroom-tables | gfg-tables | type-lounge,,,+3 price>=200
253,9769341550905,craft-rectangle-unit-1,Craft | rectangle unit,Brant Business Interiors,319.99,low,3,C-MAYBE,type-lounge | otg-lounge | cafe-lounge-seating,,,+3 price>=200
254,9769342763321,craft-round-20-unit,"Craft | round 20"" unit — 20""",Brant Business Interiors,269.99,low,3,C-MAYBE,type-lounge | otg-lounge | cafe-lounge-seating,,,+3 price>=200
255,9769341485369,craft-wedge-unit,Craft | wedge unit,Brant Business Interiors,229.99,low,3,C-MAYBE,type-lounge | otg-lounge | cafe-lounge-seating,,,+3 price>=200
256,9103169388857,electronic-lock-business-safes,Electronic lock business safes,Brant Business Interiors,416.89,low,3,C-MAYBE,fire-resistant-file-cabinets-safes | all-business-furniture | business-furniture,,,+3 price>=200
257,9103460696377,file-buddy-swivel-stool-black-vinyl,File buddy swivel stool black — Vinyl,Brant Business Interiors,229.99,low,3,C-MAYBE,stools-drafting-chairs | gfg-storage | all-storage,,,+3 price>=200
258,9667825598777,gas-lift-monitor-riser,Gas lift monitor riser,Brant Business Interiors,434.33,low,3,C-MAYBE,desk-top-dividers | monitor-arms | standing-tables,,,+3 price>=200
259,9769338798393,half-round-40-unit,"Half round 40"" unit — 40""",Brant Business Interiors,329.99,low,3,C-MAYBE,type-lounge | otg-lounge | cafe-lounge-seating,,,+3 price>=200
260,9098369335609,polycarbonate-chairmat-for-hard-floors-hard-floor-60x-46-1,"Polycarbonate chairmat for hard floors - hard floor — 60""x 46""",Brant Business Interiors,229.99,low,3,C-MAYBE,chair-mats | big-heavy-seating | chairmat-accessories,,,+3 price>=200
261,9103180366137,safe-digital-fire-water-file,Safe digital fire/water file,Brant Business Interiors,401.19,low,3,C-MAYBE,fire-resistant-file-cabinets-safes | lateral-file-cabinets-storage | vertical-file-cabinets-storage,,,+3 price>=200
262,9103180693817,safe-small-security-safe-with-electronic-lock-8-7-x-13-8-x-10-6-3,"Safe small security safe with electronic lock — 8.7"" x 13.8"" x 10.6""",Brant Business Interiors,239.99,low,3,C-MAYBE,fire-resistant-safes-storage | all-storage | gfg-storage,,,+3 price>=200
263,9693069377849,lectern-podium,Lectern podium,Brant Business Interiors,699.99,none,3,C-MAYBE,mobile-pedestals,,,+5 price>=500; -3 thin context; +1 routing unknown
264,9754654245177,shoptech-2410,Shoptech — 2410,Brant Business Interiors,579.00,none,3,C-MAYBE,big-heavy-seating | height-adjustable-tables | medium-back-seating,,2410,+5 price>=500; +2 model:2410; -5 parts/accessory; +1 routing unknown
265,9722802536761,wardrobe-with-lock,Wardrobe with lock,Brant Business Interiors,1299.99,none,3,C-MAYBE,wardrobe-storage,,,+5 price>=500; -3 thin context; +1 routing unknown
266,9722789822777,credenza-sliding-doors,Credenza sliding doors,Brant Business Interiors,1599.99,high,2,C-MAYBE,credenzas | storage | height-adjustable-tables,,,+5 price>=500; -3 thin context
267,9693064692025,credenza-60x20,"Credenza — 60""x20""",Brant Business Interiors,1299.99,high,2,C-MAYBE,credenzas | storage,,,+5 price>=500; -3 thin context
268,9455162884409,desk-double-pedestal,Desk double pedestal,Brant Business Interiors,1399.00,high,2,C-MAYBE,pedestals | desks | storage,,,+5 price>=500; -3 thin context
269,9666753855801,loover-high-back-synchro-tilter,Loover high back synchro tilter,Brant Business Interiors,649.99,high,2,C-MAYBE,task-chairs | ergonomic-products | executive-seating,loover,,+5 price>=500; +2 line:loover; -5 parts/accessory
270,9666754675001,loover-medium-back-synchro-tilter-chair,Loover medium back synchro tilter chair,Brant Business Interiors,659.99,high,2,C-MAYBE,task-chairs | ergonomic-products | executive-seating,loover,,+5 price>=500; +2 line:loover; -5 parts/accessory
271,9693098705209,flap-folding-chair-6775-1,Flap folding chair (6775) — 6775,Brant Business Interiors,189.99,med,2,C-MAYBE,chairs | all-quiet-spaces | folding-stacking-chairs-carts,,6775,+2 model:6775
272,9943316529465,laptop-holder-for-100-ma1c-100-ma2c-monitor-arms,Laptop holder for 100-MA1C & 100-MA2C monitor arms only,Brant Business Interiors,89.99,med,2,C-MAYBE,monitor-arms | all-desks | desks,,100-,+2 model:100-
273,9693070721337,lectern-storage-stand,Lectern storage stand,Brant Business Interiors,1780.00,med,2,C-MAYBE,storage | all-storage | gfg-storage,,,+5 price>=500; -3 thin context
