handle,primary_sku,manufacturer_guess,status,still_missing,filled,research_notes
desk-single-pedestal-bbf,BURO-SPR4824B,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"Could NOT identify the manufacturer. Worklist lists vendor=Heartwood Manufacturing / site_hint heartwoodmfg.com, but SKUs are BURO-SPR4824B / SPR4830B / SPR6030B / SPR7230B / SPR7236B. 'BURO-' is an internal BBI vendor code; 'SPR' single-pedestal model numbers do NOT appear on any Heartwood manufacturer page (Heartwood single-ped desks use MA- and INV- part numbers, never SPR). Searches for SPR482"
executive-suites-height-adjustable-desk,HTWINVASST,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),"SKU HTWINVASST (= INV-ASST). No model number 'INVASST' / 'INV-ASST' exists anywhere on the manufacturer's own domain (heartwooddl.com / heartwood.ca) — it appears to be a BBI-internal 'assorted executive suite' bundle SKU rather than a single catalogued manufacturer model, so there is no manufacturer spec page that can be matched to this SKU. Searched the Heartwood Innovations brochure (heartwoodd"
executive-u-shape-desk-set,INNOVATIONS PKG,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"Manufacturer: Heartwood Manufacturing. SKU 'INNOVATIONS PKG' is a custom dealer-assembled U-shape suite package, not a single cataloged item. No manufacturer-domain page (heartwood.ca / heartwooddl.com) carries this package SKU, and Heartwood's site does not publish overall footprint dimensions or weight for suites — only per-component parts lists (e.g. INV-LAYOUT PDFs list component SKUs like INV"
height-adjustable-l-shape-71x71,HDL-HT-ADJ-LAYOUT #7,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),"SKU HDL-HT-ADJ-LAYOUT #7 = Heartwood 'HT-ADJ-Layout 7' height-adjustable L-shape configuration. Manufacturer domain heartwood.ca has the layout in its height-adjustable series (page references 14 example layouts incl. HT-ADJ-Layout 7) and individual layout_details pages exist (e.g. /main/layout_details/300.html = HT-ADJ-Layout 5), but these layout pages are image-only: WebFetch confirmed they show"
height-adjustable-l-shape-table,HDL-CAL-E1-3LEG-3060+2448 Top,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"Worklist needs WEIGHT only. NOT FOUND on manufacturer domain. SKU HDL-CAL-E1-3LEG-3060+2448 Top = Heartwood Calypso CAL-E1 electric height-adjustable base, 3-leg, L-shape (30x60 + 24x48 top). heartwood.ca's Calypso/height-adjustable pages (series/19) list lift capacity (265 lbs 2-leg / 320 lbs 3-leg), height range 22""-48"" excl. top, max footprint 94.5""x94.5"", operating speed 1.3""/sec, <50dB — but "
height-adjustable-l-shape-table-1,HDL-CLI-E1-3LEG-3060+2448 Top,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),"SKU HDL-CLI-E1-3LEG = Heartwood 'Cleo' (CLI-E1) 3-leg electric base with L-shape top (3060+2448). Manufacturer's own domain is heartwood.ca (heartwoodmfg.com did not resolve; heartwooddl.com is 'Heartwood Distributors' = distributor, disqualified). The heartwood.ca height-adjustable page (https://www.heartwood.ca/series/19/height-adjustable.html) gives Cleo CLI-E1 BASE specs only, verbatim: 'Maxim"
height-adjustable-table-5-sizes,CLIE1-INV2442TOP,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"Heartwood Manufacturing (manufacturer domains heartwood.ca / heartwooddl.com — NOT heartwoodmfg.com, which is an unrelated Indiana woodworker). SKU prefix CLIE1 = Cleo electric height-adjustable base (CLI-E1). needs=[weight] only. Checked the Cleo brochure (https://www.heartwood.ca/media/series/brochures/HDL_CLEO_NP.pdf) and the Innovations Tops & Bases brochure (https://www.heartwooddl.com/media/"
hutch-5-sizes,HDLINV3636H,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer: Heartwood Manufacturing (Innovations open hutch; SKUs HDLINV3636H/3660H/3666H/3672H/4372H = INV-3636H etc.). Heartwood manufacturer-domain hutch pages (heartwood.ca /category/93/...) give ONLY generic ranges, not per-SKU overall dims: e.g. 388 36in Open Hutch page states 'Standard height is 35½""', 'Standard depth is 16""', 'Standard widths range from 29.5"" to 82¾""'; the INV-LAYOUT_6A."
innovation-l-shape-set,HDLINV-3066DS+INV-2436RSBR+INV-FPUF,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"SKU HDLINV-3066DS+INV-2436RSBR+INV-FPUF is a multi-component Innovations set (30x66 desk shell + 24x36 return shell/bridge + freestanding pedestal). No single named layout brochure matches this exact component combo, and the manufacturer component pages on heartwooddl.com (e.g. /series/1/components/27/inv-3060ds.html for the desk shell, and INV-FPUF page) publish NO product or shipping weight and "
innovations-l-shape-desk-with-hutch,HDLINV6A,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"Heartwood 'Innovations' L-shape desk with hutch, SKU HDLINV6A (Layout 6A configured suite). Only weight was needed. Vendor field says Global Furniture Group but SKU prefix (HDL/INV) and manufacturer_guess confirm Heartwood Manufacturing. Manufacturer-family domains (heartwoodmfg.com, heartwood.ca, heartwooddl.com) publish no product or shipping weight for Innovations layouts/components; pages give"
innovations-u-shape-suite,HDLINNLAYOUT3A,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"SKU HDLINNLAYOUT3A = Heartwood Innovations Series Layout #3A (U-shape suite: corner module desk + return/bridge + credenza shell + hutch). Manufacturer brochure confirmed on heartwooddl.com (INV-LAYOUT_3A.pdf), verbatim: 'Layout #3A  INV-B7248CMB Corner Module Desk  INV-2436RSBR Return Shell/Bridge  INV-2472SH Credenza Shell  INV-FPUF Freestanding Pedestal - No Top  INV-2236LFX Lateral File - No T"
l-shape-desk-8-sizes-9-colour-options,HDLINV3060DS-INV2430RS-INVHPF,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"Heartwood 'Innovations' series L-shape desk (multi-size configured suite: HDLINV30xxDS desk shell + INV24xxRS return + INVHPF half/3-4 modesty). Only weight was needed. Manufacturer-family domains (heartwooddl.com component pages, heartwood.ca, heartwoodmfg.com) do not list any product/shipping weight — component pages show only nominal model-name size, no weight. No qualifying value. Reseller pag"
l-shape-desk-8-sizes-9-colour-options-1,HDLINV3060DS-INV2430RS-INVFPUF,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"Product needs weight only. SKU is a composite Innovations L-suite: HDLINV3060DS (30x60 desk shell) + INV2430RS (24x30 return shell) + INVFPUF (full pedestal, file/file). Checked the manufacturer's own component page heartwooddl.com/series/1/components/27/inv-3060ds.html (describes it as a '30"" x 60"" desk shell featuring a full modesty panel recessed 4 inches' but lists NO weight and no full WxDxH)"
l-shape-desk-8-sizes-9-colour-options-2,HDLINV3060DS-INV2430RS-INVFPUF-FPFF,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),Heartwood 'Innovations' series L-shape desk (multi-size configured suite: HDLINV30xxDS desk shell + INV24xxRS return + INVFPUF-FPFF modesty). Only weight was needed. Checked manufacturer-family domains heartwooddl.com (component pages e.g. /series/1/components/27/inv-3060ds.html and inv-fpuf.html) and heartwood.ca / heartwoodmfg.com — none publish a product or shipping weight; component pages only
l-shape-desk-hutch,HDL-INV-LAYOUT 10A,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"SKU HDL-INV-LAYOUT 10A = Heartwood Innovations (INV) series L-shape desk + hutch configured layout. product needs WEIGHT only. Manufacturer domain heartwood.ca lists the Innovations series and numbered layout_details pages, but those pages are image-based and carry no verbatim weight text (confirmed by WebFetch on sibling layout pages). No product or shipping weight for Layout 10A found anywhere o"
l-shape-desk-set-72x72,HDL-INV2436RSBR-7236CM-FPFF-FPUF,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"Heartwood Innovations custom L-shape suite, SKU HDL-INV2436RSBR-7236CM-FPFF-FPUF (return shell INV-2436RSBR + extended corner module INV-7236CM + freestanding pedestals FPFF/FPUF). The 'needs' field requests weight only. Heartwood's own domains (heartwood.ca / heartwooddl.com) do NOT publish a single product/spec page for this exact custom component combination, and the per-component pages (e.g. I"
l-shape-suire,HTWLEV1LOOP,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),"SKU HTWLEV1LOOP is a Heartwood Levels-series L-shape suite (loop-leg desking). On the manufacturer site heartwood.ca, the Levels Tables component page (/category/312/components/629/levels-tables.html) shows only image filenames like LEV-2460TBL-LOOP and a general description ('Laminate work surface with a choice of loop legs, square offset legs or open shelves') — NO model number LEV1LOOP and NO d"
meeting-table,HDL-INV-2436TBL-SQ2OFT,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),"SKU INV-2436TBL-SQ2OFT is a Heartwood Innovations-series rectangular meeting table (top + square offset legs). Manufacturer domains: heartwoodmfg.com (connection refused/down at research time) and heartwood.ca (Heartwood Manufacturing Ltd., Kelowna BC, copyright '© 2026 Heartwood'). The heartwood.ca Innovations/Levels table category and component pages describe construction and standard finishes b"
metal-round-metal-base,HDL-900-ROU20-SIL,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),SKU HDL-900-ROU20 = Heartwood 900-series round metal base. Manufacturer's own domain heartwood.ca 900-series pages (https://www.heartwood.ca/series/6/900-series.html and /category/270/) list 900-series legs/bases as components but publish NO dimensions or weight for the 900-ROU20. The only 900-ROU20-specific page found is https://www.heartwooddl.com/category/25/components/870/900-rou20 which is He
mobile-drawer-unit-with-locks-inv-mpuf,HDL-INV-MPUF,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),SKU HDL-INV-MPUF = Heartwood Innovations mobile box/box/file pedestal. Only weight was requested (needs=['weight']). NO weight is published on the manufacturer domains. The INV-MPUF pages on heartwood.ca and heartwooddl.com (e.g. heartwooddl.com/series/4/components/55/inv-mpuf.html and heartwooddl.com/category/59/components/55/inv-mpuf) carry no dimensions and no weight in their fetchable content.
plexiglass-modesty-panels,HDLINV-MP1-1530PLX,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer: Heartwood Manufacturing. SKUs INV-MP1-1530PLX/1548/1560/1566PLX confirmed on manufacturer domain heartwooddl.com (/category/87/modesty-panels.html and individual pages e.g. /category/87/components/516/inv-mp1-1530plx.html). The individual product page gives only descriptive text — '6mm radius corner on plexiglass panel', 'Sized to be inset 2"" on each side when installed on like size "
premium-height-adjustable-table-1,HDL-CALE1-INV-2442TOP,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),SKU HDL-CALE1-INV-2442TOP = Heartwood Calypso CAL-E1 electric height-adjustable base (2-leg) with a 24x42 Inverness top. Manufacturer's actual domain is heartwood.ca (the site_hint 'heartwoodmfg.com' is not the live manufacturer site). product needs WEIGHT only. The heartwood.ca Calypso brochure (HML_CALYPSO.pdf) and the height-adjustable page list lift CAPACITY (2-LEG - 265lbs; 3-LEG - 320lbs) an
tucana-elite-training-nesting-tables,HDL TU-98B-2448TBL,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),"BBI SKUs are TU-98B-2448TBL / TU-98B-2460TBL / TU-98B-2472TBL = Tucana Elite, 24"" deep at 48""/60""/72"" widths. The manufacturer's own Tucana Elite cut sheet (heartwooddl.com/media/components/brochures/HDL_TUC_Elite.pdf) documents the TU-98B series in ONLY two sizes that do NOT match these SKUs: 'TU-98B-6022-WH  59.25""W x 21.75""D x 29.5""H  72 LB  Ships in 2 cartons' and 'TU-98B-3022-WH  29.5""W x 21."
upscale-table-1,HDL-INV-R36-MUPBLK,Heartwood Manufacturing,UNSOURCEABLE,dimensions+weight,(none),"NOT FOUND on manufacturer domain. SKUs HDL-INV-R36-MUPBLK / HDL-INV-R42-MUPBLK / HDL-INV-R36-MUPCHR are Heartwood 'Innovations' (INV) line; 'R36'/'R42' most likely mean Round 36""/42"" diameter and 'MUP' a mushroom/pedestal base — but this is INFERENCE, not verbatim. No 'Upscale' table and no R36-MUP/R42-MUP model appears on any heartwood.ca occasional-table page (388 / 600 / Levels occasional table"
wardrobe-storage-cabinet-htwlevsr7218,HTWLEVSR7218,Heartwood Manufacturing,UNSOURCEABLE,weight,(none),"Exact model LEV-SR7218WC (HTWLEVSR7218), a 72""H/18""W Levels wardrobe storage cabinet with storage riser. Dimensions '17.75"" W x 23.75"" D x 71.5"" H' WERE found, but ONLY on heartwooddl.com (https://www.heartwooddl.com/category/104/components/740/lev-sr7218wc), which is Heartwood DISTRIBUTORS Ltd. — a distributor, not the manufacturer (its own footer links to heartwood.ca labeled 'Heartwood Manufact"
banquet-chair-stacking,HZN-A117V,Horizon,UNSOURCEABLE,dimensions,(none),"Manufacturer cut sheet (horizon-furniture.com, Horizon Seating brand) for the A-117 / A-217 banquet stackers. Verbatim spec table lists model A-117V (and A-117F) with SEAT Height 19"" / Width 15"" / Depth 15.5"" and BACK Height 20"" / Width 18"". Sheet gives SEAT/BACK dimensions only, not a single overall footprint W x D x H; seat height = 19"". Shipping weight listed as 12.5 lbs each. SKU HZN-A117V mat"
easy-pull-in-out-keyboard-tray,HZNKL28SG27,Horizon,UNSOURCEABLE,dimensions+weight,(none),"Worklist SKU HZNKL28SG27 = Horizon KL-28S economy keyboard drawer + G27 GelFoam wrist-rest option. Dimensions from manufacturer 2019 Complete Book PDF on horizon-furniture.com (Horizon's own domain). Laminate tray 28"" x 11.75"". NO product/shipping weight published on any Horizon-domain page (manufacturer weight tables in this catalog cover seating only) — left empty per rules. Reseller pages (bran"
keyboard-tray-multi-adjustable,HZN-ECA EB02,Horizon,UNSOURCEABLE,dimensions+weight,(none),"Maps to Horizon ECA 'EcoBoard 02' / EB-02 (worklist SKU 'HZN-ECA EB02'). Dimensions from manufacturer consolidated Articulating Keyboard Systems PDF on horizon-furniture.com (Horizon's own domain). Platform is 20"" HDPE; cut-sheet dimension diagram shows side figures 11.5"", 8.5"", 9"" (depth 11.5""). NO product/shipping weight published on any Horizon-domain page — left empty per rules. No qualifying "
keyboard-tray-multi-position,HZN-JV01,Horizon,UNSOURCEABLE,dimensions+weight,(none),"Maps to Horizon JV-01 'Jive' Articulating Keyboard System (worklist SKU HZN-JV01). Dimensions taken from manufacturer cut sheet on horizon-furniture.com (Horizon's own domain; horizonseating.com is their seating sub-site). Platform is 26"" steel; the cut-sheet dimension diagram shows side figures 5.5"", 11.5"", 8.5"" (depth 11.5""). Same specs confirmed in manufacturer consolidated PDF https://horizon-"
shoptech-2410,HZN-2410,Horizon,UNSOURCEABLE,dimensions+weight,(none),"Could not find model 2410 on the manufacturer's own domain. Horizon's manufacturer site is horizon-furniture.com (Horizon Seating / Shoptech brand). The Shoptech data sheets listed on horizon-furniture.com/resources are series 2000, 2000 ESD, 2600, 2700, plus stool lines — no 2410. The Shoptech Series 2000 cut sheet (2000_EN.pdf) covers 2000-12 / 2000-14 / 2000-15 only. Model 2410 also absent from"
credenza-sliding-doors,IOF-UN6024SC/SC/SLD2,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer is Intelligent Office Furniture (intelligentofficefurniture.com 301-redirects to ioflive.com). storage.html lists a 'Sliding Door Credenza' linking to specifications/storage/jpg/IOF_spec_storage_sliding_credenza.jpg, but that 'spec' file is only a 3D product render (no dimensioned text, no weight) -- inspected the image directly, no figures present. Pricing/specs are gated behind 'Dea"
credenza-storage-hutch,IOF-UN7224/MP/SC,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer is Intelligent Office Furniture (IOF), Mississauga ON. Their listed site-hint domain iofurniture.com is a parked/for-sale domain (HugeDomains) with no product content; the real manufacturer domain is ioflive.com. SKU IOF-UN7224/MP/SC = UN7224 credenza base, 72"" wide x 24"" deep storage credenza. Every UN7224 credenza configuration in the IOF price guide (SC/SC, lF/SC, MP, etc.) is list"
credenza-storage-storage-with-locks,IOF-UN6024/SC/SC,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer Intelligent Office Furniture (intelligentofficefurniture.com / ioflive.com). No manufacturer-domain page publishes a UN6024 (or UN-series) credenza spec sheet with dimensions or weight; the desk/credenza gallery page lists only named typicals, no model numbers/dims/weight. SKU prefix UN6024 likely encodes 60in W x 24in D but the manufacturer's own site does not state this verbatim, so"
display-shelving,IOF-B2016-17 X 2,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer is Intelligent Office Furniture. The site_hint domain iofurniture.com is now a parked/for-sale domain (redirects to hugedomains.com). The actual manufacturer site is intelligentofficefurniture.com, which is a project/typical gallery (models labeled DC#1-DC#10, etc.) with NO published model numbers, dimensions, or weights. SKU IOF-B2016-17 is a dealer/typical code; no manufacturer-doma"
drafting-table-custom,IOF-Typical #W-021,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"SKU 'IOF-Typical #W-021' is a BBI custom/typical layout reference, not a catalog model. Manufacturer site (intelligentofficefurniture.com -> ioflive.com) tables.html 'Drafting Collection' shows only placeholder images (planter1-5.png) and a generic description with a Request-a-Quote form; no model numbers, dimensions, or weight are published on the manufacturer domain. 2011 brochure PDF and price "
laminate-lockers-1,IOF-Lock#003,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer Intelligent Office Furniture (IOF); real domain ioflive.com (worklist site-hint iofurniture.com is a parked for-sale domain). Worklist SKUs IOF-Lock#003 and IOF-Lock#4 are BBI internal placeholder codes, NOT IOF model codes. IOF catalogs lockers by configuration (e.g. '4 Cubbie Tower', '5 Cubbie Tower', '8 Cubbie Tower') spanning many distinct sizes (the IOF lockers page lists ranges "
laminate-lockers-copy,IOF-Lock#006,Intelligent Office Furniture,UNSOURCEABLE,weight,(none),"Manufacturer is Intelligent Office Furniture (IOF); their own site is ioflive.com (not iofurniture.com, which 404s for these). IOF publishes a lockers spec page (https://www.ioflive.com/specifications/lockers.html) with per-model SPEC PDFs (Locker-01 through Locker-14) but these are project quote/drawing sheets, not clean per-SKU spec sheets. The Locker-06 PDF (https://www.ioflive.com/specificatio"
lateral-file-storage-cabinet-with-shelves,IOF-UN3066LF/SC/21,Intelligent Office Furniture,UNSOURCEABLE,weight,(none),"Manufacturer is Intelligent Office Furniture (ioflive.com). Vendor field in worklist says Heartwood but the SKU UN3066LF/SC/21 is an IOF code and appears verbatim on the IOF 'LATERAL FILE / STORAGE WITH SHELVES' spec sheet at https://www.ioflive.com/specifications/storage/pdf/IOF_spec_storage_sclf.pdf as '30W"" x 66H"" x 21D""' = UN3066LF/SC/21. Worklist 'needs' only weight (dims already had); IOF sp"
lateral-file-wood-laminate-2-3-4-drawer-options,IOFUN3624LF2,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer Intelligent Office Furniture (IOF); real domain ioflive.com (worklist site-hint iofurniture.com is a parked for-sale domain). all_skus are IOFUN3624LF2 (2-drawer/'Two High'), IOFUN3624LF3 (3-drawer/'Three High'), IOFUN3624LF4 (4-drawer/'Four High'). In the IOF price guide the 2-high lateral base code is UN3624LF (this is the 2-drawer unit the LF2 SKU refers to) at 36""x24""x29""; 3-high "
lectern-storage-stand,IOF-Typical #W-020,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"SKU 'IOF-Typical #W-020' is a BBI custom/typical layout reference, not a published manufacturer model number. Manufacturer domain intelligentofficefurniture.com 301-redirects to ioflive.com. No lectern/podium storage-stand product with specs is published on the manufacturer's own domain; the drafting/specialty pages use placeholder images and a Request-a-Quote CTA, and the price guide/spec data is"
mobile-machine-stand-with-shelf-on-wheels,IOF-C901221,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer Intelligent Office Furniture. No manufacturer-domain (intelligentofficefurniture.com / ioflive.com) page found for SKU IOF-C901221 mobile machine stand; manufacturer site has no model-level spec sheets. Searches surfaced only unrelated reseller mobile machine stands (Safco, etc.) which do not qualify and do not match this model. Left empty per strict rules."
mobile-pedestal-file-file,IOF IFFM21,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"SKU 'IOF IFFM21' maps exactly to IOF code IFFM/21 (FF = file/file mobile pedestal, includes top). Dimensions read verbatim from IOF's own published Price Guide PDF on ioflive.com (the manufacturer domain; iofurniture.com from the worklist is not IOF's live site). Header row on that page is literally 'WxDxH ... 16""x21""x28"" IFFM/21'. No product or shipping weight is published anywhere on the IOF dom"
pneumatic-single-table,IOF-PN2420,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer site ioflive.com. Primary SKU IOF-PN2420 = catalog code PN2420, listed verbatim as '24 in. x 20 in.' in the pneumatic-table brochure size chart; height range '29 in. to 42 in.' stated in the same brochure. Note: the '100 lb' figure is WEIGHT CAPACITY, not product/shipping weight — so weight left empty. No product or shipping weight appears anywhere on the manufacturer's own domain. PN"
racetrack-conference-table-1-top,IOFRAPB3660,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"Primary SKU IOFRAPB3660 = RAcetrack Pillar Base, 36x60. Top size 36"" x 60"" confirmed verbatim on IOF's own Racetrack/Pillar Base spec PDF (ioflive.com) and again in IOF's Price Guide PDF (line 'RAPB3660'). These are tabletop W x L only; IOF does not state an overall table height tied to this model on either manufacturer page, so a full W x D x H cannot be given. No weight is published on the IOF d"
temptations-office-suite-copy,IOF-B2016-49,Intelligent Office Furniture,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer is Intelligent Office Furniture (iofurniture / ioflive.com). SKU IOF-B2016-49 matches the IOF custom spec sheet 'B2016-49' at https://www.ioflive.com/specifications/custom/pdf/IOF_custom_specifications_B2016-49.pdf (and matching .jpg). This 'typical' is a multi-component office suite (storage tower, hgt-adj table, wardrobe, 2 custom pedestals 30""W x 24""D x 23""H, acrylic panel, tackboa"
kensington-ac12-security-charging-cabinet,KMW64415,Kensington,UNSOURCEABLE,weight,(none),Need = weight only. Kensington's own product page for the AC12 12-Bay Security Charging Cabinet (model K64415) at kensington.com (US and en-au pages fetched) does not list a product or shipping weight; the spec area loads dynamically and no weight figure is present in the rendered content. Pages reference an Installation Guide (K64415NA) and EU DoC but neither weight kg nor lbs is shown on any ken
kensington-universal-charge-sync-tablet-cabinet,KMW67862,Kensington,UNSOURCEABLE,weight,(none),"Need = weight only. Kensington's own product page for the Charge & Sync Cabinet, Universal Tablet (model K67862) at kensington.com has a Specification section but the spec values are loaded dynamically (JS) and the static HTML / rendered spec block exposes only cabinet dimensions (430 (H) x 400 (W) x 350 (D) mm), not a product or shipping weight. No weight figure appears on any kensington.com manu"
links-custom-reception-unit-60x72,CAB1622LOBBF-CTS3636G-DSK2436LR-ECU246048CLF-LTS1224G-LTS1236G,Links Contract Furniture,UNSOURCEABLE,dimensions+weight,(none),"Custom-configured Links Contract Furniture reception unit assembled from multiple component SKUs (CAB1622LOBBF, CTS3636G, DSK2436LR, ECU246048CLF, LTS1224G, LTS1236G). Manufacturer domain is linkscontract.com. The manufacturer's site (home, workspaces, and category pages) does not publish per-SKU spec/cut sheets or weight figures, and none of these component codes appear anywhere on linkscontract."
cluster-seating-2,MTY-B2 2424,MityBilt,UNSOURCEABLE,dimensions+weight,(none),"Primary SKU MTY-B2 2424. No product named 'Cluster', 'Cluster Seating', or carrying model code 'B2' / 'B2 2424' exists anywhere on the MityBilt manufacturer domain (checked /seating, /collaborative, /higher-learning, and site searches). Could not identify the model on the manufacturer's own site, so no dimensions or weight could be verbatim-verified. Both fields left empty."
contemporary-metal-desk,MTY- TUT2448.MPL,MityBilt,UNSOURCEABLE,dimensions+weight,(none),"Primary SKU MTY-TUT2448.MPL (TUT prefix). The closest manufacturer match is the MityBilt Ultra desk (https://www.mitybilt.com/desking/ultra-desk, model designation 'UL# R#'), whose spec sheet (AdministratorUltra_SpecSheet.pdf) lists sizes 24""x36"" through 30""x72"" with Height 29.5"" — which WOULD cover a 24""x48"" (matching TUT2448). However, the manufacturer's own model prefix is 'UL', not 'TUT', and "
horseshoe-study-table-height-adjustable-c-shape-horseshoe-1,MTY-IS-ATC#3660,MityBilt,UNSOURCEABLE,dimensions+weight,(none),"MityBilt Aktivity Horseshoe manufacturer page (mitybilt.com/aktivity/guided-reading/horseshoe) lists ONLY sizes ""48"" x 60"""" (Seats 7) and ""60"" x 66"""" (Seats 8). The BBI SKUs are MTY-IS-ATC#3660 (36""x60"") and MTY-IS-AT#C4872 (48""x72"") — neither size matches the two sizes published on the manufacturer page, so no dimension can be tied to these specific models per the match-exactly rule. Adjustable l"
medicine-wheel-table-indigenous,MTY- E48RSLDMW,MityBilt,UNSOURCEABLE,weight,(none),"Only weight was requested for this product. SKU MTY-E48RSLDMW = 48"" Solid Medicine Wheel. MityBilt manufacturer page (mitybilt.com/first-nations/medicine-wheel-tables/solid-medicine-wheel) states construction details (""1"" thick 45lb high density particle board"" and adjustable leg heights E 17""-25"", E 22""-30"", E 24""-36"", E 30""-42"") but gives NO product or shipping weight. A spec-sheet download is r"
metal-apex-desk,MTYB AP3060.BBF2,MityBilt,UNSOURCEABLE,dimensions+weight,(none),"Primary SKU MTYB AP3060.BBF2 = 30""x60"" Apex teacher's desk. Manufacturer Apex spec sheet (mitybilt.com, AdministratorApex_SpecSheet.pdf, linked from https://www.mitybilt.com/desking/apex) lists the table-size table as 24""x60"" and 30""x60"" with Height 30"". The 30""x60"" row matches the AP3060 SKU; dims reported as 60""W x 30""D x 30""H (spec sheet lists table size as depth x width = 30""x60""). No weight i"
metal-desk-laminate-top,MTY-IS-AP2460.BBF.MOD,MityBilt,UNSOURCEABLE,dimensions+weight,(none),"SKU MTY-IS-AP2460.BBF.MOD = Apex teacher's desk (model AP#), 24""x60"" table with BBF box-box-file pedestal. Manufacturer Apex spec sheet (mitybilt.com platform-os uploads CDN) gives table size 24"" depth x 60"" width and 30"" fixed work-surface height; product page https://www.mitybilt.com/student-desks/apex confirms ""24"" x 60"""" and ""30"" fixed height work surface"". Reported as 60""W x 24""D x 30""H. No p"
ultima-adjustable-stool,MTY- IS-S2026,MityBilt,UNSOURCEABLE,dimensions+weight,(none),"SKU MTY- IS-S2026 maps to model S2026.AH (the 20""-26"" seat-height adjustable version) on the manufacturer's own Ultima Adjustable spec sheet (mitybilt.com, hosted on its platform-os uploads CDN). The spec sheet and product page (https://www.mitybilt.com/stools/ultima-adjustable-stool) list ONLY the seat-height range for each model code; no overall width, depth, or seat diameter and no product/ship"
basics-comfort-time-drafting-stool-with-or-without-arms-1,GLB MVL2878,OTG / Offices to Go,UNSOURCEABLE,dimensions+weight,(none),"SKUs GLB MVL2878 (with arms) / GLB MVL2868 (armless) = OTG Comfort-Time drafting stool. No dedicated officestogo.com model page found for MVL2878 or MVL2868 — searched task-seating, draft-stool-seating, multi-task-seating/comfort-time series pages, site-restricted search, and price-lists page; none surface these model numbers with dimensions or weight. The 2026 OTG catalog PDF (files.officestogo.c"
basics-comfort-time-ultra-multi-tilter-big-tall-chair,GLB BAOMVL13041G5,OTG / Offices to Go,UNSOURCEABLE,dimensions+weight,(none),"SKU GLB BAOMVL13041G5 = 'Basics Comfort-Time Ultra Multi-Tilter Big & Tall Chair' (model MVL13041), a Global/Canadian Workplace Solutions 'Basics' house-brand product. No manufacturer-domain page (officestogo.com or globalfurnituregroup.com) lists model MVL13041 — it appears only on reseller sites (bensoffice.com, totalofficeplus.com, beejs.com, microagebasics.com, ecinteractiveplus.com). officest"
basics-comfort-time-ultra-multi-tilter-big-tall-with-headrest,GLB BAOMVL13042G5,OTG / Offices to Go,UNSOURCEABLE,dimensions+weight,(none),"SKU GLB BAOMVL13042G5 = 'Basics Comfort-Time Ultra Multi-Tilter Big & Tall Chair with Headrest' (model MVL13042), a Global/Canadian Workplace Solutions 'Basics' house-brand product. No manufacturer-domain page (officestogo.com or globalfurnituregroup.com) lists model MVL13042 — it appears only on reseller sites (totalofficeplus.com, beejs.com, bensoffice.com, microagebasics.com, ecinteractiveplus."
